"","Species 1","Species 2","Species with highest g","High g i-value","High g e-value","High g s-value","Low g s-value","Low g i-value","Low g e-value","Does the species with the highest g have the highest s?","Does the species with the highest g have the highest i?","Does the species with the highest g have the highest e?","g for high g species divded by g for low g species","s for high g species divded by s for low g species","i for high g species divded by i for low g species","e for high g species divded by e for low g species","Number of species with high g and high s","Number of species with high g and high i","Number of species with high g and high e","Average g for g high divided by g for g low","Average s for g high divided by s for g low","Average i for g high divided by i for g low","Average e for g high divided by e for g low","Standard Error for average g","Standard Error for average s","Standard Error for average i","Standard Error for average e","e for Species with highest g","s for Species with highest g","i for Species with highest g","e for Species with lowest g","s for Species with lowest g","i for Species with lowest g","Change in g due to high i divided by low g","Change in g due to high s divided low g","Change in g due to high e divided by low g","Change in g due to high ie divided by low g","High ies","Low ies","High ies divided by Low ies","Change in g due to high i/low g","Change in g due to high s/low g","Change in g due to high e/low g","Change in g due to high ie/low g"
"90","Metasequoia_glyptostroboides","Zamia_integrifolia","Metasequoia_glyptostroboides","2308.218656","0.135582822","571.5825887","2308.218656","0.135582822","571.5825887","1","1","0","3.65140399572801","2.49672109897242","2.02362420895522","0.620350157451473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"571.5825887","2308.218656","0.135582822","921.3870293","924.5","0.067","2.0110757844444","1.42710561886535","1.53906217943136","2.99278624172292","3.6296024003451","0.994029257123028","3.65140399473763","2.02315552588962","1.43567768115373","1.54830672075568","3.01076273185842"
"91","Nageia_nagi","Pinus_roxburghii","Nageia_nagi","439.6933333","0.093","894.9145802","439.6933333","0.093","894.9145802","0","1","0","9.19420466820734","0.428490048349973","1.21911253850691","0.526218505852634",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"894.9145802","439.6933333","0.093","1700.652049","1026.145963","0.076285","0.81790966588947","0.448328704403693","1.21434520228046","1.47684360471681","1.02857165977714","0.666319296653706","1.5436618224066","1.22750409600481","0.67284364516415","1.82246740921203","2.21642028398938"
"92","Nageia_nagi","Podocarpus_macrophyllus","Nageia_nagi","439.6933333","0.093","894.9145802","439.6933333","0.093","894.9145802","0","0","0","1.08332055462161","0.710282588039545","0.704545454545454","0.913850789648952",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"894.9145802","439.6933333","0.093","979.2786638","619.04","0.132","1.10018342858903","1.37072009974764","1.72030211656103","1.19702931115068","1.02857165977714","1.58509695024787","0.648901418690067","0.694079581956791","0.864754739155414","1.08529772661036","0.755177347961898"
"93","Nageia_nagi","Sequoia_sempervirens","Sequoia_sempervirens","3295.472578","0.090797546","821.8244381","3295.472578","0.090797546","821.8244381","1","0","0","1.78057945364977","7.49493414709456","0.976317698924731","0.918327241820481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"821.8244381","3295.472578","0.090797546","894.9145802","439.6933333","0.093","1.00303318320916","2.14707211447769","1.11529179947204","1.08771485353111","2.23993748104792","1.02857165977714","2.17771650594888","0.975170931140072","2.08743075318922","1.08431122797384","1.05750031433569"
"94","Nageia_nagi","Taxodium_distichum","Taxodium_distichum","839.5619768","0.150920245","809.012658","839.5619768","0.150920245","809.012658","1","1","0","1.50709980672598","1.90942621417271","1.62279833333333","0.904011037365374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"809.012658","839.5619768","0.150920245","894.9145802","439.6933333","0.093","1.7224316246233","1.36189754427239","1.13202160137723","1.88921004841911","2.41691776413732","1.02857165977714","2.34978063138643","1.67458592529809","1.32406675930335","1.10057630950332","1.83673157865193"
"95","Nageia_nagi","Zamia_integrifolia","Nageia_nagi","439.6933333","0.093","894.9145802","439.6933333","0.093","894.9145802","0","1","0","1.2655385306053","0.475601225851812","1.38805970149254","0.971268914953023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"894.9145802","439.6933333","0.093","921.3870293","924.5","0.067","1.3796507889237","0.710565000132851","1.02140289115189","1.41655328941879","1.02857165977714","0.994029257123028","1.03474988528415","1.38793780870873","0.714833084681437","1.02753805668466","1.42506196801356"
"96","Pinus_roxburghii","Podocarpus_macrophyllus","Podocarpus_macrophyllus","619.04","0.132","979.2786638","619.04","0.132","979.2786638","0","1","0","8.48705826634918","0.603267003253805","1.73035328046143","0.575825410245338",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"979.2786638","619.04","0.132","1700.652049","1026.145963","0.076285","1.17985298087071","0.527464662892235","1.11806238937864","1.9295166516248","1.58509695024787","0.666319296653706","2.37888495531845","1.77070210452556","0.79160946642427","1.67796789766349","2.89578384014232"
"97","Pinus_roxburghii","Sequoia_sempervirens","Sequoia_sempervirens","3295.472578","0.090797546","821.8244381","3295.472578","0.090797546","821.8244381","1","1","0","16.3710119248608","3.21150469506841","1.19024114832536","0.483240789074544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"821.8244381","3295.472578","0.090797546","1700.652049","1026.145963","0.076285","0.797816077151491","1.08065319736139","1.31224915981731","1.55638188632746","2.23993748104792","0.666319296653706","3.36165783025797","1.19734799991261","1.62182485602398","1.96939990543197","2.33578990454531"
"98","Pinus_roxburghii","Taxodium_distichum","Taxodium_distichum","839.5619768","0.150920245","809.012658","839.5619768","0.150920245","809.012658","0","1","0","13.8565840784544","0.818170130831573","1.97837379563479","0.475707337356696",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"809.012658","839.5619768","0.150920245","1700.652049","1026.145963","0.076285","1.35973468384775","0.607951158493722","1.33105992068519","2.58263774158865","2.41691776413732","0.666319296653706","3.6272666517017","2.04066532468205","0.912402149460308","1.99763075656049","3.87597620924204"
"99","Pinus_roxburghii","Zamia_integrifolia","Zamia_integrifolia","924.5","0.067","921.3870293","924.5","0.067","921.3870293","0","0","0","7.26505313418611","0.900943952746418","0.878285377203906","0.541784564245099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"921.3870293","924.5","0.067","1700.652049","1026.145963","0.076285","0.583004548437936","0.63544508352665","1.18239441029517","1.03956773122368","0.994029257123028","0.666319296653706","1.49182120661235","0.874962726377306","0.953664536983832","1.77451623603462","1.56016452839419"
"100","Podocarpus_macrophyllus","Sequoia_sempervirens","Sequoia_sempervirens","3295.472578","0.090797546","821.8244381","3295.472578","0.090797546","821.8244381","1","0","0","1.92893832127572","5.32352122318429","0.687860196969697","0.83921407509379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"821.8244381","3295.472578","0.090797546","979.2786638","619.04","0.132","1.07322822540627","2.65176758529045","1.8575750923229","1.26446377694715","2.23993748104792","1.58509695024787","1.413123330215","0.677074184792573","1.67293715685705","1.17189998506553","0.797720150019476"
"101","Podocarpus_macrophyllus","Taxodium_distichum","Taxodium_distichum","839.5619768","0.150920245","809.012658","839.5619768","0.150920245","809.012658","1","1","0","1.63267219849252","1.35623219307315","1.14333518939394","0.826131200347715",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"809.012658","839.5619768","0.150920245","979.2786638","619.04","0.132","1.82565219793939","1.79003827076948","1.88392595413704","2.16388017697972","2.41691776413732","1.58509695024787","1.52477598531709","1.15176058956766","1.12929260919312","1.18852411762097","1.36514058439223"
"102","Podocarpus_macrophyllus","Zamia_integrifolia","Podocarpus_macrophyllus","619.04","0.132","979.2786638","619.04","0.132","979.2786638","0","1","1","1.16820319268043","0.66959437533802","1.97014925373134","1.06283096316646",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"979.2786638","619.04","0.132","921.3870293","924.5","0.067","1.9579561154346","0.831875082635472","0.938996528064389","1.85673972797652","1.58509695024787","0.994029257123028","1.59461800433877","1.9697167879157","0.836871829148298","0.944636710977787","1.8678924334183"
"103","Sequoia_sempervirens","Taxodium_distichum","Sequoia_sempervirens","3295.472578","0.090797546","821.8244381","3295.472578","0.090797546","821.8244381","1","0","1","1.18146087319717","3.9252284751636","0.601626017768524","1.01583631599989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"821.8244381","3295.472578","0.090797546","809.012658","839.5619768","0.150920245","1.45737053986911","3.28978106997241","2.38502967888372","1.43675423831047","2.23993748104792","2.41691776413732","0.926774387728259","0.602987226745506","1.36114729213662","0.986806301096892","0.594457229629116"
"104","Sequoia_sempervirens","Zamia_integrifolia","Sequoia_sempervirens","3295.472578","0.090797546","821.8244381","3295.472578","0.090797546","821.8244381","1","1","0","2.25339190539792","3.56459986803678","1.35518725373134","0.891942703734781",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"821.8244381","3295.472578","0.090797546","921.3870293","924.5","0.067","1.34698750354307","1.60081067800443","1.10545299502895","1.49369167020622","2.23993748104792","0.994029257123028","2.253391904712","1.35507832781662","1.61042611827903","1.11209301648567","1.50266368872214"
"105","Taxodium_distichum","Zamia_integrifolia","Taxodium_distichum","839.5619768","0.150920245","809.012658","839.5619768","0.150920245","809.012658","0","1","0","1.90729287487954","0.908125448134127","2.25254097014925","0.878037819367423",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"809.012658","839.5619768","0.150920245","921.3870293","924.5","0.067","2.23845710011893","0.953152014780539","1.1216316380451","2.49689258064879","2.41691776413732","0.994029257123028","2.43143523877002","2.25190263171689","0.958877224136442","1.12836883824867","2.51189043255671"
