"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1",1,2,2,0,0,2.10848838574844,0.351279506042167,0.27582651626461,1150,352,2.71471593800264,1.6018422589973,0.65179124672699,0.0662253715126622,0.0425799732730382,0.00850198133252004,1457,2928.964912,4147.694286,10618.86635,4.09247831230819,1.42142116095466,3.91359536866953,1.96126064865815,2.08665702598386,0.724748728287165
"2",1,3,1,1,1,1.13953335042499,2.37146614408233,1.01653670145024,NA,NA,NA,NA,NA,NA,NA,NA,4147.694286,10618.86635,1749,10446.12195,1.52058751289191,1.98447574116838,1.96126064865815,1.54212669705415,0.986032805084444,1.28684351613861
"3",1,4,4,0,0,1.23379552925074,0.262791318463147,0.685602763801618,NA,NA,NA,NA,NA,NA,NA,NA,1089.97805,7280.324118,4147.694286,10618.86635,2.53421663035425,1.26796171308319,1.77369539422445,1.96126064865815,1.29213658168694,0.64650341806975
"4",1,5,5,0,0,1.10416768135487,0.183354882872387,0.664101022422229,NA,NA,NA,NA,NA,NA,NA,NA,760.5,7052,4147.694286,10618.86635,2.58588078851524,1.08979002460101,1.58734335161734,1.96126064865815,1.31847890298744,0.555657926113299
"5",1,6,6,0,0,2.55110351570669,0.723673200826644,0.349956956469275,NA,NA,NA,NA,NA,NA,NA,NA,3001.5752,3716.146149,4147.694286,10618.86635,3.68281560781838,1.80881739500049,3.66744768401191,1.96126064865815,1.87777978941151,0.922272822961108
"6",1,7,7,0,0,1.4208831286215,0.302783146105769,0.608532400541984,NA,NA,NA,NA,NA,NA,NA,NA,1255.851925,6461.924231,4147.694286,10618.86635,2.72969987045306,1.34201447890113,2.06484919176268,1.96126064865815,1.39180882067901,0.684261156118799
"7",1,8,8,0,0,1.10195481463074,0.91846089352787,0.786693124355972,NA,NA,NA,NA,NA,NA,NA,NA,3809.495,8353.789146,4147.694286,10618.86635,2.31661102051935,1.92365857159524,2.28188708344272,1.96126064865815,1.1811846743085,0.980827598265109
"8",1,9,1,1,0,3.39163724444906,4.48641891400757,0.338897489406992,NA,NA,NA,NA,NA,NA,NA,NA,4147.694286,10618.86635,924.5,31333.56452,1.18449239648218,0.8162358176118,1.96126064865815,0.423863919762018,2.79451102407401,1.92570251808666
"9",1,10,1,1,1,1.09958469913887,5.62506006021482,1.2186819381306,NA,NA,NA,NA,NA,NA,NA,NA,4147.694286,10618.86635,737.36,8713.402585,1.07526880256294,2.25183548354375,1.96126064865815,1.29206461374654,0.832209775829274,1.74281956148788
"10",1,11,1,1,0,1.54736383184897,2.45292314837953,0.602411528117651,NA,NA,NA,NA,NA,NA,NA,NA,4147.694286,10618.86635,1690.918971,17627.26285,1.50218083812235,1.33001751096587,1.96126064865815,0.957208281915258,1.56933539596698,1.38947555729947
"11",1,12,1,1,0,1.66751806447956,2.8043909979716,0.648355948581584,NA,NA,NA,NA,NA,NA,NA,NA,4147.694286,10618.86635,1479,16378.14286,1.42950804269582,1.41095703358706,1.96126064865815,0.968463845664955,1.4760572106998,1.45690212381474
"12",1,13,1,1,1,1.23381939390694,3.52096289134126,1.00303781651862,NA,NA,NA,NA,NA,NA,NA,NA,4147.694286,10618.86635,1178,10586.70588,1.30832995375261,1.9655414516459,1.96126064865815,1.31190645678268,0.997273812464613,1.49823292772428
"13",1,14,1,1,0,1.70540249432875,2.80060383929777,0.548712455956855,NA,NA,NA,NA,NA,NA,NA,NA,4147.694286,10618.86635,1481,19352.33333,1.43023780840421,1.2323846918245,1.96126064865815,0.830672943992483,1.72178210298992,1.48359796805378
"14",1,15,1,1,0,1.55898360353417,2.46593001545779,0.579695728245442,NA,NA,NA,NA,NA,NA,NA,NA,4147.694286,10618.86635,1682,18318,1.49930018422292,1.28912438328065,1.96126064865815,0.922134559232827,1.62590173983965,1.39797860341894
"15",1,16,16,0,0,3.04685693244745,0.101381628202286,0.158657534850695,NA,NA,NA,NA,NA,NA,NA,NA,420.5,1684.763158,4147.694286,10618.86635,4.96550117501574,0.835314754485729,4.38013915613692,1.96126064865815,2.53179054931481,0.425907058838524
"16",1,17,17,0,0,2.25611184839382,0.313547699113136,0.348389355140532,NA,NA,NA,NA,NA,NA,NA,NA,1300.5,3699.5,4147.694286,10618.86635,3.69062791564624,1.36054624624647,3.2433698290258,1.96126064865815,1.88176309873513,0.693710062034501
"17",1,18,18,0,0,1.77535100244855,0.239622892013696,0.464271735278032,NA,NA,NA,NA,NA,NA,NA,NA,993.8825,4930.039507,4147.694286,10618.86635,3.19034187957171,1.22079793713857,2.39314761805376,1.96126064865815,1.6266791880796,0.622455734261436
"18",1,19,1,1,0,1.74124714683556,2.95988502553874,0.568735135076747,NA,NA,NA,NA,NA,NA,NA,NA,4147.694286,10618.86635,1401.3025,18671.02223,1.40044700321302,1.26918068643801,1.96126064865815,0.838647723695778,1.66988708565438,1.51336568451524
"19",1,20,1,1,0,1.95125267673401,6.77174577306122,0.732677180403975,NA,NA,NA,NA,NA,NA,NA,NA,4147.694286,10618.86635,612.5,14493.24018,0.990904387838579,1.5536278153992,1.96126064865815,0.736753715145494,1.34496015081905,2.10874785353799
"20",1,21,21,0,0,1.16802997935136,0.380204685124182,0.853003574529403,NA,NA,NA,NA,NA,NA,NA,NA,1576.9728,9057.930954,4147.694286,10618.86635,2.19308618600563,1.46423812958332,1.67915132273561,1.96126064865815,1.11820230906386,0.746580078780001
