"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"52",1,53,1,1,1,1.07227064104422,3.51915551520654,2.52352889733435,NA,NA,NA,NA,NA,NA,NA,NA
"53",1,54,1,1,1,1.63890370587166,5.63415282611353,5.35445951833771,NA,NA,NA,NA,NA,NA,NA,NA
"54",1,55,1,1,1,1.2085790333456,1.85901891695651,2.25617054759173,NA,NA,NA,NA,NA,NA,NA,NA
"55",1,56,1,1,1,1.71830447894647,4.5983306940133,4.73513547335887,NA,NA,NA,NA,NA,NA,NA,NA
"56",1,57,1,1,1,1.25793389163394,5.9673688135959,3.37509923387646,NA,NA,NA,NA,NA,NA,NA,NA
"57",1,58,1,1,1,1.23799328815455,6.70020400297234,4.55778988745645,NA,NA,NA,NA,NA,NA,NA,NA
"58",1,59,1,1,1,1.72691079141599,28.7037666851211,12.6675992001079,NA,NA,NA,NA,NA,NA,NA,NA
"59",1,60,60,0,0,1.03515720118324,0.117347125038328,0.258992727660303,NA,NA,NA,NA,NA,NA,NA,NA
"60",1,61,61,0,0,1.16110642294187,0.366007869751662,0.675824056925898,NA,NA,NA,NA,NA,NA,NA,NA
"61",1,62,62,0,1,1.55811694597404,0.794531214396258,1.01437974251742,NA,NA,NA,NA,NA,NA,NA,NA
"62",1,63,63,0,0,1.31880537165618,0.202416552163411,0.489792965276056,NA,NA,NA,NA,NA,NA,NA,NA
"63",1,64,64,0,0,1.41918600186415,0.347180843308662,0.847984078729986,NA,NA,NA,NA,NA,NA,NA,NA
"64",1,65,65,0,0,1.07886383864846,0.159722475746613,0.314915972188435,NA,NA,NA,NA,NA,NA,NA,NA
"65",1,66,1,1,1,1.44622771173908,4.48641891400757,4.19412679295028,NA,NA,NA,NA,NA,NA,NA,NA
"66",2,3,2,0,1,2.40269283454411,0.833047455688965,2.31627829142785,NA,NA,NA,NA,NA,NA,NA,NA
"67",2,4,2,1,1,1.70894474470084,1.33672416614261,2.5510430230093,NA,NA,NA,NA,NA,NA,NA,NA
"68",2,5,2,1,1,1.90957263226652,1.91584483892176,3.41259861932939,NA,NA,NA,NA,NA,NA,NA,NA
"69",2,6,6,1,1,1.20992059190363,2.06010652024708,1.34503270448771,NA,NA,NA,NA,NA,NA,NA,NA
"70",2,7,2,1,1,1.48392808900056,1.16016862417916,2.08294638679242,NA,NA,NA,NA,NA,NA,NA,NA
"71",2,8,2,0,1,1.9134072992412,0.38246539239453,1.0644574943335,NA,NA,NA,NA,NA,NA,NA,NA
"72",2,9,2,1,1,7.15122773859269,1.57598702001082,11.5911303407247,NA,NA,NA,NA,NA,NA,NA,NA
"73",2,10,2,1,1,2.31846156728101,1.97596831940979,4.21260601387818,NA,NA,NA,NA,NA,NA,NA,NA
"74",2,11,2,0,1,3.26259866798075,0.86166163192216,3.67518226227423,NA,NA,NA,NA,NA,NA,NA,NA
"75",2,12,2,0,1,3.51594247198088,0.985125084516565,4.01086641553173,NA,NA,NA,NA,NA,NA,NA,NA
"76",2,13,2,1,1,2.60149386216397,1.23684210526316,3.31764705882353,NA,NA,NA,NA,NA,NA,NA,NA
"77",2,14,2,0,1,3.59582135231858,0.983794733288319,4.03463855421687,NA,NA,NA,NA,NA,NA,NA,NA
"78",2,15,2,0,1,3.28709882162405,0.866230677764566,3.95001189060642,NA,NA,NA,NA,NA,NA,NA,NA
"79",2,16,16,0,0,1.44504326086953,0.288606726149623,0.601264012811713,NA,NA,NA,NA,NA,NA,NA,NA
"80",2,17,17,0,0,1.07001388465935,0.892587508579272,0.782971498753748,NA,NA,NA,NA,NA,NA,NA,NA
"81",2,18,2,1,1,1.18764592626496,1.46596805960463,1.87522175773321,NA,NA,NA,NA,NA,NA,NA,NA
"82",2,19,2,1,1,3.67139938582039,1.03974694971286,4.66781468140873,NA,NA,NA,NA,NA,NA,NA,NA
"83",2,20,2,1,1,4.11419360655421,2.37877551020408,8.19276157592946,NA,NA,NA,NA,NA,NA,NA,NA
"84",2,21,2,0,1,1.80516632537065,0.923922086671374,2.2402875224752,NA,NA,NA,NA,NA,NA,NA,NA
"85",2,22,2,1,1,1.26702346134025,1.02419705973199,1.65556135843499,NA,NA,NA,NA,NA,NA,NA,NA
"86",2,23,2,0,1,1.58474461970321,0.901313418410227,1.94252253944609,NA,NA,NA,NA,NA,NA,NA,NA
"87",2,24,2,1,1,1.44678122674851,1.94969127434873,2.60828264032715,NA,NA,NA,NA,NA,NA,NA,NA
"88",2,25,2,0,1,1.4384673226273,0.916725694908907,1.77823258827467,NA,NA,NA,NA,NA,NA,NA,NA
"89",2,26,2,0,1,1.92283991968772,0.921295443830444,2.3829309270956,NA,NA,NA,NA,NA,NA,NA,NA
"90",2,27,2,1,1,1.17949263717269,1.19218574204766,1.72588245969144,NA,NA,NA,NA,NA,NA,NA,NA
"91",2,28,2,1,1,1.89731533714486,5.75604938271605,5.87720223582293,NA,NA,NA,NA,NA,NA,NA,NA
"92",2,29,2,1,1,16.6328050078254,1.33424908424908,19.0130494505494,NA,NA,NA,NA,NA,NA,NA,NA
"93",2,30,2,1,1,1.88176577354797,1.04729055976818,2.42420614363875,NA,NA,NA,NA,NA,NA,NA,NA
"94",2,31,2,1,1,2.15818792669896,2.08327375675598,4.02190022472789,NA,NA,NA,NA,NA,NA,NA,NA
"95",2,32,2,1,1,5.68430922776828,1.91584483892176,10.1584330993991,NA,NA,NA,NA,NA,NA,NA,NA
"96",2,33,2,0,1,4.14640564931789,0.611188482641744,4.18426084305936,NA,NA,NA,NA,NA,NA,NA,NA
"97",2,34,2,0,1,4.11010183467688,0.661869588523354,4.3293104115092,NA,NA,NA,NA,NA,NA,NA,NA
"98",2,35,2,0,1,2.66645778553513,0.890630348672307,3.24901951195657,NA,NA,NA,NA,NA,NA,NA,NA
"99",2,36,36,1,1,1.19743512775615,1.58422694303363,1.16732511589544,NA,NA,NA,NA,NA,NA,NA,NA
"100",2,37,2,1,1,2.40953100960973,3.31367316639731,5.7464091887385,NA,NA,NA,NA,NA,NA,NA,NA
