"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1",1,2,1,1,0,1.61826399290609,1.03820147372738,0.623724862450747,2861,1000,2.71386616211145,1.20355452631697,0.557735151348474,0.0265498733719657,0.0192813949581145,0.00633986321036847,193.1595125,8017.021111,186.05205,12853.45766,2.11148635918081,1.35271954947989,2.14957683796941,1.32832272593275,1.58958837183044,1.0183666386721
"2",1,3,1,0,0,4.81407338902053,0.98319507647891,0.0152223219680529,NA,NA,NA,NA,NA,NA,NA,NA,193.1595125,8017.021111,196.461025,526662.1694,2.16699805288356,0.0334976475235612,2.14957683796941,0.0337824964198619,64.1455866952895,0.991568151365709
"3",1,4,1,1,0,2.11751235219994,1.24573992759392,0.519867830725208,NA,NA,NA,NA,NA,NA,NA,NA,193.1595125,8017.021111,155.05605,15421.26794,1.93490450041217,1.13026328743134,2.14957683796941,1.01514252571312,1.90604220727817,1.11340354561282
"4",1,5,1,0,0,1.45342929416338,0.82572048205338,0.62156856347109,NA,NA,NA,NA,NA,NA,NA,NA,193.1595125,8017.021111,233.92845,12898.04791,2.35388490891364,1.34811202162211,2.14957683796941,1.47896897796773,1.59157152312157,0.911521500251187
"5",1,6,1,0,0,2.31063441676981,0.51967890994141,0.309011347811921,NA,NA,NA,NA,NA,NA,NA,NA,193.1595125,8017.021111,371.6901125,25944.09936,2.91838708737823,0.675220542058807,2.14957683796941,0.930297247589339,3.13704796498172,0.725811608933051
"6",1,7,1,0,0,6.27250066273266,0.299369975582701,0.160403934061449,NA,NA,NA,NA,NA,NA,NA,NA,193.1595125,8017.021111,645.2200563,49980.20253,3.72367092484646,0.351748684668002,2.14957683796941,0.637137112755911,5.84437925573017,0.552076904053708
"7",1,8,8,0,0,1.15602517830633,0.471760354023465,0.597095069817386,NA,NA,NA,NA,NA,NA,NA,NA,91.125,4786.92378,193.1595125,8017.021111,3.54379898231809,1.49501255442162,2.48496494719961,2.14957683796941,1.64860307374066,0.695491562810976
"8",1,9,1,0,0,1.44316450080265,0.756361157882371,0.599690482955797,NA,NA,NA,NA,NA,NA,NA,NA,193.1595125,8017.021111,255.38,13368.5982,2.45306746381758,1.30133677934344,2.14957683796941,1.48948843833606,1.6469194393734,0.873680349474343
"9",1,10,10,0,0,2.19738769634724,0.792738592151914,0.395852141220587,NA,NA,NA,NA,NA,NA,NA,NA,153.125,3173.554973,193.1595125,8017.021111,5.24202874340258,1.92327268104214,4.72345369646082,2.14957683796941,2.43863287453099,0.894721531731316
"10",1,11,1,0,0,1.53844804342244,0.574345987910263,0.490927559867339,NA,NA,NA,NA,NA,NA,NA,NA,193.1595125,8017.021111,336.3121125,16330.35455,2.78778375785647,1.06807874142667,2.14957683796941,1.39723720141548,1.99521151815332,0.764421918014094
"11",1,12,1,0,0,1.82366893928321,0.595275092188555,0.420142236088411,NA,NA,NA,NA,NA,NA,NA,NA,193.1595125,8017.021111,324.4878125,19081.68335,2.74221947812828,0.915619091149974,2.14957683796941,1.17871001216377,2.32645811932518,0.776797585242501
"12",1,13,1,0,0,1.8154771922519,0.443917293881069,0.36546925265744,NA,NA,NA,NA,NA,NA,NA,NA,193.1595125,8017.021111,435.125,21936.23965,3.13391820570559,0.797509863427627,2.14957683796941,1.18402855565392,2.64682654040787,0.673556274989648
"13",1,14,1,0,0,2.22346954983542,0.127586559650715,0.307480134959146,NA,NA,NA,NA,NA,NA,NA,NA,193.1595125,8017.021111,1513.94875,26073.29775,5.18401352419109,0.67189929450505,2.14957683796941,1.79099703401286,2.89448470641848,0.375153772867848
"14",1,15,1,1,0,1.71803029014738,2.05378261093196,0.822387705286409,NA,NA,NA,NA,NA,NA,NA,NA,193.1595125,8017.021111,94.0506125,9748.469073,1.51827418408448,1.77520352445687,2.14957683796941,1.25118680953109,1.21346722369419,1.41881572834209
"15",1,16,1,1,0,1.70165902496234,2.49234060740956,0.913927232385634,NA,NA,NA,NA,NA,NA,NA,NA,193.1595125,8017.021111,77.50125,8772.056272,1.38105432310205,1.9685431481006,2.14957683796941,1.26322418632958,1.09327729634028,1.55834820881667
