"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,2,1,1,1,1.61826399290609,1.03820147372738,1.64888433337383,2861,6037,2.71386616211145,1.20355452631697,2.41615781859539,0.0265498733719657,0.0192813949581145,0.0283625099087145
"2",1,3,1,0,1,4.81407338902053,0.98319507647891,4.26174972795938,NA,NA,NA,NA,NA,NA,NA,NA
"3",1,4,1,1,1,2.11751235219994,1.24573992759392,2.36341313340836,NA,NA,NA,NA,NA,NA,NA,NA
"4",1,5,1,0,1,1.45342929416338,0.82572048205338,1.32071903728562,NA,NA,NA,NA,NA,NA,NA,NA
"5",1,6,1,0,1,2.31063441676981,0.51967890994141,1.66570766320343,NA,NA,NA,NA,NA,NA,NA,NA
"6",1,7,1,0,1,6.27250066273266,0.299369975582701,1.21631292940529,NA,NA,NA,NA,NA,NA,NA,NA
"7",1,8,8,0,0,1.15602517830633,0.471760354023465,0.794013732225674,NA,NA,NA,NA,NA,NA,NA,NA
"8",1,9,1,0,1,1.44316450080265,0.756361157882371,1.25510611744255,NA,NA,NA,NA,NA,NA,NA,NA
"9",1,10,10,0,1,2.19738769634724,0.792738592151914,1.95646322517395,NA,NA,NA,NA,NA,NA,NA,NA
"10",1,11,1,0,1,1.53844804342244,0.574345987910263,1.16592235533394,NA,NA,NA,NA,NA,NA,NA,NA
"11",1,12,1,0,1,1.82366893928321,0.595275092188555,1.40703485761171,NA,NA,NA,NA,NA,NA,NA,NA
"12",1,13,1,0,1,1.8154771922519,0.443917293881069,1.20960014292995,NA,NA,NA,NA,NA,NA,NA,NA
"13",1,14,1,0,0,2.22346954983542,0.127586559650715,0.479873843533474,NA,NA,NA,NA,NA,NA,NA,NA
"14",1,15,1,1,1,1.71803029014738,2.05378261093196,2.4621134053635,NA,NA,NA,NA,NA,NA,NA,NA
"15",1,16,1,1,1,1.70165902496234,2.49234060740956,2.68643438894006,NA,NA,NA,NA,NA,NA,NA,NA
"16",1,17,1,1,1,1.47121473083559,4.44271460299434,3.10098933338891,NA,NA,NA,NA,NA,NA,NA,NA
"17",1,18,1,1,1,3.86636785316806,1.12208092337804,4.095578555125,NA,NA,NA,NA,NA,NA,NA,NA
"18",1,19,1,0,1,2.32913585832509,0.453085739585288,1.56777963283023,NA,NA,NA,NA,NA,NA,NA,NA
"19",1,20,1,0,1,4.18732924032263,0.705100511650819,3.34644872187977,NA,NA,NA,NA,NA,NA,NA,NA
"20",1,21,1,0,1,1.48892161689003,0.649948122797301,1.20035908033812,NA,NA,NA,NA,NA,NA,NA,NA
"21",1,22,1,0,1,9.85815090056786,0.656393849877223,7.98689019503179,NA,NA,NA,NA,NA,NA,NA,NA
"22",1,23,1,0,1,1.99491583556344,0.918363840544896,1.91175381516972,NA,NA,NA,NA,NA,NA,NA,NA
"23",1,24,1,0,1,2.42116762305365,0.774415760098093,2.13064918846009,NA,NA,NA,NA,NA,NA,NA,NA
"24",1,25,1,1,1,1.81640416201116,1.05178857531526,1.8628449683913,NA,NA,NA,NA,NA,NA,NA,NA
"25",1,26,1,0,1,2.35417959349819,0.625846883804968,1.86240289394456,NA,NA,NA,NA,NA,NA,NA,NA
"26",1,27,1,0,1,4.66431675725751,0.688651215203201,3.87068380445368,NA,NA,NA,NA,NA,NA,NA,NA
"27",1,28,1,1,1,1.37699749776162,3.25156994360744,2.48301704758183,NA,NA,NA,NA,NA,NA,NA,NA
"28",1,29,1,1,1,2.37733763555011,2.20046436454254,3.5265336785895,NA,NA,NA,NA,NA,NA,NA,NA
"29",1,30,1,1,1,1.07688795509961,1.4522392629619,1.29774572385311,NA,NA,NA,NA,NA,NA,NA,NA
"30",1,31,31,0,1,2.31539207318576,0.219093532864451,1.08377548082807,NA,NA,NA,NA,NA,NA,NA,NA
"31",1,32,1,1,1,1.04131317971234,4.2805432132964,2.15442216249628,NA,NA,NA,NA,NA,NA,NA,NA
"32",1,33,1,1,1,1.12870297038653,3.50402743764172,2.11282446465055,NA,NA,NA,NA,NA,NA,NA,NA
"33",1,34,1,1,1,1.04211459704645,1.6121453079409,1.32317586581089,NA,NA,NA,NA,NA,NA,NA,NA
"34",1,35,1,1,1,3.98996500106014,2.47244176,6.27382096533333,NA,NA,NA,NA,NA,NA,NA,NA
"35",1,36,1,1,1,1.35344810004743,2.15147596903542,1.98522555303537,NA,NA,NA,NA,NA,NA,NA,NA
"36",1,37,37,1,1,1.1164007703982,1.76333536770549,1.48247571159466,NA,NA,NA,NA,NA,NA,NA,NA
"37",1,38,38,0,0,1.03149401079168,0.32761135696074,0.590399777392521,NA,NA,NA,NA,NA,NA,NA,NA
"38",1,39,1,1,1,2.77864132264235,1.47689525876125,2.95136147577629,NA,NA,NA,NA,NA,NA,NA,NA
