species,data type,psi,gs
Cercis occidentalis,1,1.7,178.3804903
Cercis occidentalis,1,1.75,9.380490293
Cercis occidentalis,1,1.8,1.230490293
Cercis occidentalis,1,1.8,32.38049029
Cercis occidentalis,1,1.88,13.48049029
Cercis occidentalis,1,1.88,10.88049029
Cercis occidentalis,1,1.9,97.38049029
Cercis occidentalis,1,1.92,60.38049029
Cercis occidentalis,1,1.96,29.88049029
Cercis occidentalis,1,1.97,40.88049029
Cercis occidentalis,1,2.04,26.18049029
Cercis occidentalis,1,2.05,3.380490293
Cercis occidentalis,1,2.12,32.38049029
Cercis occidentalis,1,2.5,9.880490293
Ceanothus spinosus,1,0.248,32.13647275
Ceanothus spinosus,1,0.312,55.63647275
Ceanothus spinosus,1,0.335,55.63647275
Ceanothus spinosus,1,0.36,357.6364727
Ceanothus spinosus,1,0.38,120.6364727
Ceanothus spinosus,1,0.421,291.6364727
Ceanothus spinosus,1,0.43,231.6364727
Ceanothus spinosus,1,0.45,103.6364727
Ceanothus spinosus,1,0.476,111.6364727
Ceanothus spinosus,1,0.59,129.6364727
Ceanothus spinosus,1,0.613,154.6364727
Ceanothus spinosus,1,0.65,84.63647275
Ceanothus spinosus,1,0.67,123.6364727
Ceanothus spinosus,1,0.7,109.6364727
Ceanothus spinosus,1,1.03,91.63647275
Ceanothus spinosus,1,1.103,141.6364727
Ceanothus spinosus,1,1.21,104.6364727
Ceanothus spinosus,1,1.243,235.6364727
Ceanothus spinosus,1,1.32,42.63647275
Ceanothus spinosus,1,1.43,192.6364727
Ceanothus spinosus,1,1.459,25.63647275
Ceanothus spinosus,1,1.49,109.6364727
Ceanothus spinosus,1,1.54,62.63647275
Ceanothus spinosus,1,1.56,71.63647275
Ceanothus spinosus,1,1.65,66.63647275
Ceanothus spinosus,1,1.66,116.6364727
Ceanothus spinosus,1,1.7,82.63647275
Ceanothus spinosus,1,1.7,21.03647275
Ceanothus spinosus,1,1.75,136.6364727
Ceanothus spinosus,1,1.83,187.6364727
Ceanothus spinosus,1,1.85,12.53647275
Ceanothus spinosus,1,1.9,75.63647275
Ceanothus spinosus,1,1.923,73.63647275
Ceanothus spinosus,1,1.98,44.63647275
Ceanothus spinosus,1,1.99,29.63647275
