species,data type,psi,gs
Ficus semicordata,Hao et al. 2010,0.997,560.7
Ficus semicordata,Hao et al. 2010,1.105,541.3
Ficus semicordata,Hao et al. 2010,1.113,530.9
Ficus semicordata,Hao et al. 2010,1.167,468.6
Ficus semicordata,Hao et al. 2010,1.099,448
Ficus semicordata,Hao et al. 2010,1.022,439.2
Ficus semicordata,Hao et al. 2010,1.145,419.7
Ficus semicordata,Hao et al. 2010,1.069,412.4
Ficus semicordata,Hao et al. 2010,1.353,373.5
Ficus semicordata,Hao et al. 2010,1.545,367.3
Ficus semicordata,Hao et al. 2010,1.461,327.4
Ficus semicordata,Hao et al. 2010,1.469,309.6
Ficus semicordata,Hao et al. 2010,1.608,270.9
Ficus semicordata,Hao et al. 2010,1.585,260.6
Ficus semicordata,Hao et al. 2010,1.255,284.8
Ficus semicordata,Hao et al. 2010,1.363,265.3
Ficus semicordata,Hao et al. 2010,0.9961,208.1
Ficus semicordata,Hao et al. 2010,1.234,167.8
Ficus semicordata,Hao et al. 2010,1.388,137.9
Ficus semicordata,Hao et al. 2010,1.504,100.7
Ficus semicordata,Hao et al. 2010,1.596,93.15
Ficus semicordata,Hao et al. 2010,1.65,81.22
Ficus semicordata,Hao et al. 2010,1.618,133.1
Ficus semicordata,Hao et al. 2010,1.725,161.1
Ficus semicordata,Hao et al. 2010,1.749,127
Ficus semicordata,Hao et al. 2010,1.712,50.01
Ficus semicordata,Hao et al. 2010,1.788,66.2
Ficus semicordata,Hao et al. 2010,1.941,74.86
Ficus semicordata,Hao et al. 2010,2.002,101.4
Ficus semicordata,Hao et al. 2010,2.093,144.3
Ficus semicordata,Hao et al. 2010,2.224,120.4
Ficus semicordata,Hao et al. 2010,2.14,87.9
Ficus semicordata,Hao et al. 2010,2.11,70.17
Ficus semicordata,Hao et al. 2010,2.186,71.53
Ficus semicordata,Hao et al. 2010,2.279,56.58
Ficus semicordata,Hao et al. 2010,2.348,46.11
Ficus semicordata,Hao et al. 2010,2.408,108.2
Ficus semicordata,Hao et al. 2010,2.531,102.1
Ficus semicordata,Hao et al. 2010,2.555,50.25
Ficus semicordata,Hao et al. 2010,2.76,109.2
Ficus semicordata,Hao et al. 2010,2.875,125.3
Ficus semicordata,Hao et al. 2010,2.937,106
Ficus semicordata,Hao et al. 2010,2.838,60.2
Ficus semicordata,Hao et al. 2010,3.221,74.45
Ficus semicordata,Hao et al. 2010,3.481,94.8
Ficus semicordata,Hao et al. 2010,3.381,134.9
Ficus semicordata,Hao et al. 2010,3.987,82.2
Ficus benjamina,Hao et al. 2010,1.006,340.9
Ficus benjamina,Hao et al. 2010,0.9134,322.5
Ficus benjamina,Hao et al. 2010,1.081,311.4
Ficus benjamina,Hao et al. 2010,0.936,294.8
Ficus benjamina,Hao et al. 2010,0.9822,283.7
Ficus benjamina,Hao et al. 2010,0.9412,261.5
Ficus benjamina,Hao et al. 2010,0.8008,195.1
Ficus benjamina,Hao et al. 2010,1.208,254.2
Ficus benjamina,Hao et al. 2010,1.399,269.8
Ficus benjamina,Hao et al. 2010,1.358,243.1
Ficus benjamina,Hao et al. 2010,1.306,237.5
Ficus benjamina,Hao et al. 2010,1.207,200.6
Ficus benjamina,Hao et al. 2010,1.393,222.8
Ficus benjamina,Hao et al. 2010,1.444,206.2
Ficus benjamina,Hao et al. 2010,1.694,218.2
Ficus benjamina,Hao et al. 2010,1.753,251.4
Ficus benjamina,Hao et al. 2010,1.398,185.8
Ficus benjamina,Hao et al. 2010,1.519,170.2
Ficus benjamina,Hao et al. 2010,1.612,160.9
Ficus benjamina,Hao et al. 2010,1.455,160
Ficus benjamina,Hao et al. 2010,1.374,162.8
Ficus benjamina,Hao et al. 2010,1.281,171.1
Ficus benjamina,Hao et al. 2010,1.235,149.8
Ficus benjamina,Hao et al. 2010,1.316,142.5
Ficus benjamina,Hao et al. 2010,1.095,123.1
Ficus benjamina,Hao et al. 2010,1.246,112.9
Ficus benjamina,Hao et al. 2010,1.373,112.9
Ficus benjamina,Hao et al. 2010,1.407,91.69
Ficus benjamina,Hao et al. 2010,1.291,88
Ficus benjamina,Hao et al. 2010,1.112,82.46
Ficus benjamina,Hao et al. 2010,1.198,27.08
Ficus benjamina,Hao et al. 2010,1.302,36.31
Ficus benjamina,Hao et al. 2010,1.401,43.69
Ficus benjamina,Hao et al. 2010,1.465,64
Ficus benjamina,Hao et al. 2010,1.452,19.69
Ficus benjamina,Hao et al. 2010,1.516,17.85
Ficus benjamina,Hao et al. 2010,1.615,11.38
Ficus benjamina,Hao et al. 2010,1.638,21.54
Ficus benjamina,Hao et al. 2010,1.713,18.77
Ficus benjamina,Hao et al. 2010,1.754,28
Ficus benjamina,Hao et al. 2010,1.68,100.9
Ficus benjamina,Hao et al. 2010,1.675,124.9
Ficus benjamina,Hao et al. 2010,1.882,69.54
Ficus benjamina,Hao et al. 2010,2.067,43.69
Ficus benjamina,Hao et al. 2010,2.119,33.54
Ficus benjamina,Hao et al. 2010,2.05,20.62
Ficus benjamina,Hao et al. 2010,2.09,9.538
Ficus benjamina,Hao et al. 2010,2.154,19.69
Ficus benjamina,Hao et al. 2010,2.195,24.31
Ficus benjamina,Hao et al. 2010,2.194,11.38
Ficus benjamina,Hao et al. 2010,2.247,18.77
Ficus benjamina,Hao et al. 2010,2.293,10.46
Ficus benjamina,Hao et al. 2010,2.368,14.15
Ficus benjamina,Hao et al. 2010,2.496,4.923
Ficus benjamina,Hao et al. 2010,2.641,15.08
Ficus benjamina,Hao et al. 2010,2.693,20.62
Ficus benjamina,Hao et al. 2010,2.653,39.08
Ficus benjamina,Hao et al. 2010,2.809,25.23
Ficus benjamina,Hao et al. 2010,2.826,0.3077
Ficus benjamina,Hao et al. 2010,3.093,1.231
Ficus benjamina,Hao et al. 2010,3.151,18.77
Ficus benjamina,Hao et al. 2010,3.157,52
Ficus benjamina,Hao et al. 2010,3.22,13.23
Ficus benjamina,Hao et al. 2010,3.29,13.23
Ficus benjamina,Hao et al. 2010,3.389,23.38
Ficus benjamina,Hao et al. 2010,3.603,28
Ficus benjamina,Hao et al. 2010,3.725,25.23
Ficus benjamina,Hao et al. 2010,3.649,13.23
Ficus benjamina,Hao et al. 2010,3.951,16.92
Ficus benjamina,Hao et al. 2010,3.997,14.15
Ficus concinna,Hao et al. 2010,1.406,211.5
Ficus concinna,Hao et al. 2010,1.298,174.7
Ficus concinna,Hao et al. 2010,1.067,118.7
Ficus concinna,Hao et al. 2010,1.202,93.96
Ficus concinna,Hao et al. 2010,1.239,86.05
Ficus concinna,Hao et al. 2010,1.322,94.65
Ficus concinna,Hao et al. 2010,1.42,83.11
Ficus concinna,Hao et al. 2010,1.488,109.7
Ficus concinna,Hao et al. 2010,1.627,129.5
Ficus concinna,Hao et al. 2010,1.628,135.9
Ficus concinna,Hao et al. 2010,1.672,133.3
Ficus concinna,Hao et al. 2010,1.727,133.9
Ficus concinna,Hao et al. 2010,1.354,135
Ficus concinna,Hao et al. 2010,1.442,135.7
Ficus concinna,Hao et al. 2010,1.442,142
Ficus concinna,Hao et al. 2010,1.393,144.6
Ficus concinna,Hao et al. 2010,1.478,165.4
Ficus concinna,Hao et al. 2010,1.478,169.1
Ficus concinna,Hao et al. 2010,1.555,170.3
Ficus concinna,Hao et al. 2010,1.487,195.1
Ficus concinna,Hao et al. 2010,1.584,187.3
Ficus concinna,Hao et al. 2010,1.684,196.5
Ficus concinna,Hao et al. 2010,1.804,194
Ficus concinna,Hao et al. 2010,1.811,201.4
Ficus concinna,Hao et al. 2010,1.806,209.3
Ficus concinna,Hao et al. 2010,1.797,180.2
Ficus concinna,Hao et al. 2010,1.697,160.9
Ficus concinna,Hao et al. 2010,1.96,163.4
Ficus concinna,Hao et al. 2010,2.049,122.1
Ficus concinna,Hao et al. 2010,1.938,117.2
Ficus concinna,Hao et al. 2010,1.905,110.3
Ficus concinna,Hao et al. 2010,1.937,106.6
Ficus concinna,Hao et al. 2010,1.801,14.65
Ficus concinna,Hao et al. 2010,1.94,29.69
Ficus concinna,Hao et al. 2010,1.972,21.77
Ficus concinna,Hao et al. 2010,2.143,30.48
Ficus concinna,Hao et al. 2010,2.164,24.15
Ficus concinna,Hao et al. 2010,2.202,22.61
Ficus concinna,Hao et al. 2010,2.168,14.07
Ficus concinna,Hao et al. 2010,2.206,10.94
Ficus concinna,Hao et al. 2010,2.256,13.13
Ficus concinna,Hao et al. 2010,2.361,19.63
Ficus concinna,Hao et al. 2010,2.459,16.58
Ficus concinna,Hao et al. 2010,2.603,32.16
Ficus concinna,Hao et al. 2010,2.676,44.98
Ficus concinna,Hao et al. 2010,2.73,44
Ficus concinna,Hao et al. 2010,2.761,22.82
Ficus concinna,Hao et al. 2010,3.052,26.39
Ficus concinna,Hao et al. 2010,3.128,21.71
Ficus concinna,Hao et al. 2010,3.211,32.96
Ficus concinna,Hao et al. 2010,3.114,42.91
Ficus concinna,Hao et al. 2010,3.99,34
Ficus curtipes,Hao et al. 2010,0.4843,366.8
Ficus curtipes,Hao et al. 2010,0.5134,319.6
Ficus curtipes,Hao et al. 2010,0.6588,286.7
Ficus curtipes,Hao et al. 2010,0.7644,282.3
Ficus curtipes,Hao et al. 2010,0.9752,294.3
Ficus curtipes,Hao et al. 2010,0.982,250
Ficus curtipes,Hao et al. 2010,1.038,237.1
Ficus curtipes,Hao et al. 2010,0.7657,235.9
Ficus curtipes,Hao et al. 2010,0.6286,172.4
Ficus curtipes,Hao et al. 2010,0.5018,137.5
Ficus curtipes,Hao et al. 2010,0.9666,202.9
Ficus curtipes,Hao et al. 2010,1.111,199.2
Ficus curtipes,Hao et al. 2010,1.067,183.5
Ficus curtipes,Hao et al. 2010,0.9187,129.4
Ficus curtipes,Hao et al. 2010,1.097,117.1
Ficus curtipes,Hao et al. 2010,1.186,117.7
Ficus curtipes,Hao et al. 2010,1.208,129.9
Ficus curtipes,Hao et al. 2010,1.268,141.3
Ficus curtipes,Hao et al. 2010,1.048,59.98
Ficus curtipes,Hao et al. 2010,1.094,3.518
Ficus curtipes,Hao et al. 2010,1.2,12.01
Ficus curtipes,Hao et al. 2010,1.266,16.97
Ficus curtipes,Hao et al. 2010,1.349,21.91
Ficus curtipes,Hao et al. 2010,1.35,14.05
Ficus curtipes,Hao et al. 2010,1.299,31.94
Ficus curtipes,Hao et al. 2010,1.433,12.56
Ficus curtipes,Hao et al. 2010,1.516,12.5
Ficus curtipes,Hao et al. 2010,1.594,11.02
Ficus curtipes,Hao et al. 2010,1.55,2.478
Ficus curtipes,Hao et al. 2010,1.393,41.16
Ficus curtipes,Hao et al. 2010,1.36,59.04
Ficus curtipes,Hao et al. 2010,1.421,62.57
Ficus curtipes,Hao et al. 2010,1.51,40.36
Ficus curtipes,Hao et al. 2010,1.587,62.45
Ficus curtipes,Hao et al. 2010,1.715,61.65
Ficus curtipes,Hao et al. 2010,1.848,62.98
Ficus curtipes,Hao et al. 2010,1.671,40.25
Ficus curtipes,Hao et al. 2010,1.754,40.9
Ficus curtipes,Hao et al. 2010,1.788,34.45
Ficus curtipes,Hao et al. 2010,1.832,34.42
Ficus curtipes,Hao et al. 2010,1.883,20.81
Ficus curtipes,Hao et al. 2010,1.883,15.81
Ficus curtipes,Hao et al. 2010,1.966,30.04
Ficus curtipes,Hao et al. 2010,2.016,26.43
Ficus curtipes,Hao et al. 2010,2.066,18.54
Ficus curtipes,Hao et al. 2010,2.044,11.41
Ficus curtipes,Hao et al. 2010,2.249,34.84
Ficus curtipes,Hao et al. 2010,2.194,14.88
Ficus curtipes,Hao et al. 2010,2.244,19.13
Ficus curtipes,Hao et al. 2010,2.239,6.986
Ficus religosa,Hao et al. 2010,1.202,389.3
Ficus religosa,Hao et al. 2010,1.109,344.7
Ficus religosa,Hao et al. 2010,1.088,332.4
Ficus religosa,Hao et al. 2010,1.258,331.4
Ficus religosa,Hao et al. 2010,1.149,315.7
Ficus religosa,Hao et al. 2010,0.8738,271.2
Ficus religosa,Hao et al. 2010,0.8796,259.8
Ficus religosa,Hao et al. 2010,1.204,287.6
Ficus religosa,Hao et al. 2010,1.116,284.1
Ficus religosa,Hao et al. 2010,1.16,272.7
Ficus religosa,Hao et al. 2010,1.419,286.5
Ficus religosa,Hao et al. 2010,1.276,261.2
Ficus religosa,Hao et al. 2010,1.299,247.1
Ficus religosa,Hao et al. 2010,1.194,239.3
Ficus religosa,Hao et al. 2010,0.9519,218.5
Ficus religosa,Hao et al. 2010,1.002,211.4
Ficus religosa,Hao et al. 2010,1.073,213.1
Ficus religosa,Hao et al. 2010,0.9524,193
Ficus religosa,Hao et al. 2010,1.305,204.1
Ficus religosa,Hao et al. 2010,1.327,213.8
Ficus religosa,Hao et al. 2010,1.404,197.9
Ficus religosa,Hao et al. 2010,1.157,178.8
Ficus religosa,Hao et al. 2010,0.992,136
Ficus religosa,Hao et al. 2010,1.356,114.6
Ficus religosa,Hao et al. 2010,1.454,161
Ficus religosa,Hao et al. 2010,1.599,98.61
Ficus religosa,Hao et al. 2010,1.572,57.4
Ficus religosa,Hao et al. 2010,1.649,37.16
Ficus religosa,Hao et al. 2010,1.661,18.73
Ficus religosa,Hao et al. 2010,1.693,54.67
Ficus religosa,Hao et al. 2010,1.765,61.62
Ficus religosa,Hao et al. 2010,1.748,46.72
Ficus religosa,Hao et al. 2010,1.809,38.77
Ficus religosa,Hao et al. 2010,1.842,31.73
Ficus religosa,Hao et al. 2010,1.919,35.17
Ficus religosa,Hao et al. 2010,1.958,45.66
Ficus religosa,Hao et al. 2010,2.002,47.38
Ficus religosa,Hao et al. 2010,2.057,53.47
Ficus religosa,Hao et al. 2010,1.908,61.49
Ficus religosa,Hao et al. 2010,2.018,85.08
Ficus religosa,Hao et al. 2010,2.099,137.6
Ficus religosa,Hao et al. 2010,2.266,77.85
Ficus religosa,Hao et al. 2010,2.195,54.23
Ficus religosa,Hao et al. 2010,2.035,30.68
Ficus religosa,Hao et al. 2010,2.08,16.61
Ficus religosa,Hao et al. 2010,2.184,23.53
Ficus religosa,Hao et al. 2010,2.3,21.68
Ficus religosa,Hao et al. 2010,2.35,18.12
Ficus religosa,Hao et al. 2010,2.212,3.333
Ficus religosa,Hao et al. 2010,2.493,34.67
Ficus religosa,Hao et al. 2010,2.508,74.13
Ficus religosa,Hao et al. 2010,2.591,48.61
Ficus religosa,Hao et al. 2010,2.515,19.73
Ficus religosa,Hao et al. 2010,2.773,38.81
Ficus religosa,Hao et al. 2010,2.873,39.6
Ficus religosa,Hao et al. 2010,2.894,50.98
Ficus religosa,Hao et al. 2010,2.945,3.568
Ficus religosa,Hao et al. 2010,3.253,13.82
Ficus religosa,Hao et al. 2010,3.357,47.07
Ficus religosa,Hao et al. 2010,3.997,34.22
Ficus tinctoria,Hao et al. 2010,1.271,430.6
Ficus tinctoria,Hao et al. 2010,0.699,379.4
Ficus tinctoria,Hao et al. 2010,0.8556,340
Ficus tinctoria,Hao et al. 2010,0.7389,332.3
Ficus tinctoria,Hao et al. 2010,1.272,346.2
Ficus tinctoria,Hao et al. 2010,1.59,347.7
Ficus tinctoria,Hao et al. 2010,1.484,315.5
Ficus tinctoria,Hao et al. 2010,1.562,285
Ficus tinctoria,Hao et al. 2010,1.469,274.4
Ficus tinctoria,Hao et al. 2010,1.126,266.1
Ficus tinctoria,Hao et al. 2010,1.193,253.2
Ficus tinctoria,Hao et al. 2010,1.511,249.8
Ficus tinctoria,Hao et al. 2010,1.62,242.8
Ficus tinctoria,Hao et al. 2010,1.363,227.5
Ficus tinctoria,Hao et al. 2010,1.157,174.8
Ficus tinctoria,Hao et al. 2010,1.265,131.5
Ficus tinctoria,Hao et al. 2010,1.179,122.8
Ficus tinctoria,Hao et al. 2010,1.342,190.3
Ficus tinctoria,Hao et al. 2010,1.397,184.3
Ficus tinctoria,Hao et al. 2010,1.562,186
Ficus tinctoria,Hao et al. 2010,1.493,161.6
Ficus tinctoria,Hao et al. 2010,1.486,141
Ficus tinctoria,Hao et al. 2010,1.565,143.8
Ficus tinctoria,Hao et al. 2010,1.662,129
Ficus tinctoria,Hao et al. 2010,1.593,97.72
Ficus tinctoria,Hao et al. 2010,1.63,94.73
Ficus tinctoria,Hao et al. 2010,1.934,72.71
Ficus tinctoria,Hao et al. 2010,1.873,75.74
Ficus tinctoria,Hao et al. 2010,1.799,59.19
Ficus tinctoria,Hao et al. 2010,1.7,53.45
Ficus tinctoria,Hao et al. 2010,1.632,39.82
Ficus tinctoria,Hao et al. 2010,1.618,4.551
Ficus tinctoria,Hao et al. 2010,1.729,12.23
Ficus tinctoria,Hao et al. 2010,1.852,28.72
Ficus tinctoria,Hao et al. 2010,2.017,22.59
Ficus tinctoria,Hao et al. 2010,2.133,25.36
Ficus tinctoria,Hao et al. 2010,2.196,60.56
Ficus tinctoria,Hao et al. 2010,2.238,49.72
Ficus tinctoria,Hao et al. 2010,2.291,8.463
Ficus tinctoria,Hao et al. 2010,2.335,27.03
Ficus tinctoria,Hao et al. 2010,2.446,43.53
Ficus tinctoria,Hao et al. 2010,2.629,34.44
Ficus tinctoria,Hao et al. 2010,2.776,34.22
Ficus tinctoria,Hao et al. 2010,2.781,25.39
Ficus tinctoria,Hao et al. 2010,2.948,43.77
Ficus tinctoria,Hao et al. 2010,3.094,35.71
Ficus tinctoria,Hao et al. 2010,3.546,33.09
Ficus tinctoria,Hao et al. 2010,3.803,32.71
Ficus tinctoria,Hao et al. 2010,3.809,21.92
Ficus auriculata,Hao et al. 2010,0.533,393.6
Ficus auriculata,Hao et al. 2010,0.5055,373.5
Ficus auriculata,Hao et al. 2010,0.7692,368.1
Ficus auriculata,Hao et al. 2010,0.6099,356.8
Ficus auriculata,Hao et al. 2010,0.6868,327.8
Ficus auriculata,Hao et al. 2010,0.9176,304.9
Ficus auriculata,Hao et al. 2010,0.4231,293.7
Ficus auriculata,Hao et al. 2010,0.544,276.1
Ficus auriculata,Hao et al. 2010,0.7308,281.3
Ficus auriculata,Hao et al. 2010,0.6923,262.9
Ficus auriculata,Hao et al. 2010,0.5385,241.9
Ficus auriculata,Hao et al. 2010,0.8516,240
Ficus auriculata,Hao et al. 2010,0.8516,228.6
Ficus auriculata,Hao et al. 2010,0.8956,192.6
Ficus auriculata,Hao et al. 2010,0.7582,180.4
Ficus auriculata,Hao et al. 2010,0.8242,151.4
Ficus auriculata,Hao et al. 2010,0.9066,132.1
Ficus auriculata,Hao et al. 2010,0.8791,96.99
Ficus auriculata,Hao et al. 2010,0.8736,79.44
Ficus auriculata,Hao et al. 2010,0.9231,68.9
Ficus auriculata,Hao et al. 2010,1.044,125.9
Ficus auriculata,Hao et al. 2010,1.077,151.3
Ficus auriculata,Hao et al. 2010,1.225,140.7
Ficus auriculata,Hao et al. 2010,1.407,145.9
Ficus auriculata,Hao et al. 2010,1.115,110
Ficus auriculata,Hao et al. 2010,1.165,110
Ficus auriculata,Hao et al. 2010,1.159,60.9
Ficus auriculata,Hao et al. 2010,1.209,60.88
Ficus auriculata,Hao et al. 2010,1.28,79.27
Ficus auriculata,Hao et al. 2010,1.335,102
Ficus auriculata,Hao et al. 2010,1.324,66.97
Ficus auriculata,Hao et al. 2010,1.396,67.81
Ficus auriculata,Hao et al. 2010,1.379,33.61
Ficus auriculata,Hao et al. 2010,1.412,82.72
Ficus auriculata,Hao et al. 2010,1.467,107.3
Ficus auriculata,Hao et al. 2010,1.588,116
Ficus auriculata,Hao et al. 2010,1.797,128.2
Ficus auriculata,Hao et al. 2010,2.33,138.5
Ficus auriculata,Hao et al. 2010,1.692,98.38
Ficus auriculata,Hao et al. 2010,1.626,85.25
Ficus auriculata,Hao et al. 2010,1.582,72.99
Ficus auriculata,Hao et al. 2010,1.643,72.09
Ficus auriculata,Hao et al. 2010,1.841,93.05
Ficus auriculata,Hao et al. 2010,2.181,100.8
Ficus auriculata,Hao et al. 2010,2.313,90.22
Ficus auriculata,Hao et al. 2010,1.934,60.56
Ficus esquiroliana,Hao et al. 2010,0.6404,417.1
Ficus esquiroliana,Hao et al. 2010,0.7398,423.2
Ficus esquiroliana,Hao et al. 2010,0.7727,417.9
Ficus esquiroliana,Hao et al. 2010,0.9105,420.4
Ficus esquiroliana,Hao et al. 2010,0.667,389.7
Ficus esquiroliana,Hao et al. 2010,0.7597,363
Ficus esquiroliana,Hao et al. 2010,0.9963,354.9
Ficus esquiroliana,Hao et al. 2010,0.906,296.5
Ficus esquiroliana,Hao et al. 2010,0.8398,293.9
Ficus esquiroliana,Hao et al. 2010,0.8502,278
Ficus esquiroliana,Hao et al. 2010,1.451,274.8
Ficus esquiroliana,Hao et al. 2010,1.02,253.9
Ficus esquiroliana,Hao et al. 2010,1.008,231.8
Ficus esquiroliana,Hao et al. 2010,0.9357,206.2
Ficus esquiroliana,Hao et al. 2010,1.101,210.5
Ficus esquiroliana,Hao et al. 2010,1.271,197.1
Ficus esquiroliana,Hao et al. 2010,1.045,172.5
Ficus esquiroliana,Hao et al. 2010,1.017,161.9
Ficus esquiroliana,Hao et al. 2010,1.242,133.4
Ficus esquiroliana,Hao et al. 2010,1.196,97.15
Ficus esquiroliana,Hao et al. 2010,1.184,75.04
Ficus esquiroliana,Hao et al. 2010,1.266,38.68
Ficus esquiroliana,Hao et al. 2010,1.392,29.72
Ficus esquiroliana,Hao et al. 2010,1.431,50.04
Ficus esquiroliana,Hao et al. 2010,1.465,55.32
Ficus esquiroliana,Hao et al. 2010,1.426,62.44
Ficus esquiroliana,Hao et al. 2010,1.494,94.23
Ficus esquiroliana,Hao et al. 2010,1.505,107.5
Ficus esquiroliana,Hao et al. 2010,1.45,104
Ficus esquiroliana,Hao et al. 2010,1.44,127.9
Ficus esquiroliana,Hao et al. 2010,1.598,77.33
Ficus esquiroliana,Hao et al. 2010,1.686,84.33
Ficus esquiroliana,Hao et al. 2010,1.702,67.5
Ficus esquiroliana,Hao et al. 2010,1.652,55.16
Ficus esquiroliana,Hao et al. 2010,1.624,41.91
Ficus esquiroliana,Hao et al. 2010,1.502,31.39
Ficus esquiroliana,Hao et al. 2010,1.64,25.08
Ficus esquiroliana,Hao et al. 2010,1.844,31.09
Ficus esquiroliana,Hao et al. 2010,1.811,41.74
Ficus esquiroliana,Hao et al. 2010,1.9,48.74
Ficus esquiroliana,Hao et al. 2010,1.961,64.62
Ficus esquiroliana,Hao et al. 2010,1.943,18.62
Ficus esquiroliana,Hao et al. 2010,1.987,34.51
Ficus esquiroliana,Hao et al. 2010,1.933,44.29
Ficus esquiroliana,Hao et al. 2010,2.021,48.64
Ficus esquiroliana,Hao et al. 2010,2.059,44.18
Ficus esquiroliana,Hao et al. 2010,2.103,29.09
Ficus esquiroliana,Hao et al. 2010,2.147,43.21
Ficus esquiroliana,Hao et al. 2010,2.164,54.7
Ficus esquiroliana,Hao et al. 2010,2.225,55.53
Ficus esquiroliana,Hao et al. 2010,2.225,67.92
Ficus esquiroliana,Hao et al. 2010,2.264,79.39
Ficus esquiroliana,Hao et al. 2010,2.325,74.91
Ficus esquiroliana,Hao et al. 2010,2.291,47.51
Ficus esquiroliana,Hao et al. 2010,2.368,42.13
Ficus esquiroliana,Hao et al. 2010,2.407,50.95
Ficus esquiroliana,Hao et al. 2010,2.484,44.69
Ficus esquiroliana,Hao et al. 2010,2.545,57.91
Ficus esquiroliana,Hao et al. 2010,2.521,22.53
Ficus esquiroliana,Hao et al. 2010,2.565,26.03
Ficus hispida,Hao et al. 2010,0.787,335.1
Ficus hispida,Hao et al. 2010,0.7479,325.1
Ficus hispida,Hao et al. 2010,0.8422,319.4
Ficus hispida,Hao et al. 2010,0.5466,277.8
Ficus hispida,Hao et al. 2010,1.064,318.6
Ficus hispida,Hao et al. 2010,1.148,332.3
Ficus hispida,Hao et al. 2010,1.325,315.8
Ficus hispida,Hao et al. 2010,0.8249,297.8
Ficus hispida,Hao et al. 2010,0.8912,284.2
Ficus hispida,Hao et al. 2010,0.9907,266.3
Ficus hispida,Hao et al. 2010,1.046,273.5
Ficus hispida,Hao et al. 2010,1.308,273.5
Ficus hispida,Hao et al. 2010,1.174,248.4
Ficus hispida,Hao et al. 2010,1.195,237.6
Ficus hispida,Hao et al. 2010,1.39,233.3
Ficus hispida,Hao et al. 2010,0.7004,216.8
Ficus hispida,Hao et al. 2010,0.9114,210.4
Ficus hispida,Hao et al. 2010,0.961,197.5
Ficus hispida,Hao et al. 2010,1.111,214
Ficus hispida,Hao et al. 2010,0.9328,181
Ficus hispida,Hao et al. 2010,0.9604,177.4
Ficus hispida,Hao et al. 2010,1.133,179.6
Ficus hispida,Hao et al. 2010,1.177,188.2
Ficus hispida,Hao et al. 2010,1.216,181
Ficus hispida,Hao et al. 2010,1.266,167.4
Ficus hispida,Hao et al. 2010,1.188,165.9
Ficus hispida,Hao et al. 2010,1.343,143
Ficus hispida,Hao et al. 2010,1.182,145.2
Ficus hispida,Hao et al. 2010,1.142,117.9
Ficus hispida,Hao et al. 2010,1.214,119.4
Ficus hispida,Hao et al. 2010,0.9193,97.85
Ficus hispida,Hao et al. 2010,1.101,47.67
Ficus hispida,Hao et al. 2010,1.13,72.04
Ficus hispida,Hao et al. 2010,1.18,64.87
Ficus hispida,Hao et al. 2010,1.363,54.84
Ficus hispida,Hao et al. 2010,1.407,57.71
Ficus hispida,Hao et al. 2010,1.211,2.509
Ficus hispida,Hao et al. 2010,1.412,24.01
Ficus hispida,Hao et al. 2010,1.451,41.94
Ficus hispida,Hao et al. 2010,1.517,21.86
Ficus hispida,Hao et al. 2010,1.555,0.3584
Ficus hispida,Hao et al. 2010,1.683,3.943
Ficus hispida,Hao et al. 2010,1.672,10.39
Ficus hispida,Hao et al. 2010,1.684,18.28
Ficus hispida,Hao et al. 2010,1.634,18.28
Ficus hispida,Hao et al. 2010,1.645,27.6
Ficus hispida,Hao et al. 2010,1.763,61.29
Ficus hispida,Hao et al. 2010,1.869,74.19
Ficus hispida,Hao et al. 2010,1.907,58.42
Ficus hispida,Hao et al. 2010,1.974,80.65
Ficus hispida,Hao et al. 2010,2.096,42.65
Ficus hispida,Hao et al. 2010,1.962,24.01
Ficus hispida,Hao et al. 2010,1.873,18.28
Ficus hispida,Hao et al. 2010,1.817,9.677
Ficus hispida,Hao et al. 2010,1.85,3.943
Ficus hispida,Hao et al. 2010,2.006,8.961
Ficus hispida,Hao et al. 2010,2.272,3.226
Ficus hispida,Hao et al. 2010,2.301,21.15
Ficus hispida,Hao et al. 2010,2.328,21.15
Ficus hispida,Hao et al. 2010,2.423,13.26
Ficus hispida,Hao et al. 2010,2.335,59.86
Ficus hispida,Hao et al. 2010,2.401,55.56
Ficus hispida,Hao et al. 2010,2.42,105.7
Ficus hispida,Hao et al. 2010,2.558,105.7
Ficus hispida,Hao et al. 2010,2.586,92.83
Ficus hispida,Hao et al. 2010,2.908,104.3
Ficus hispida,Hao et al. 2010,2.722,7.527
Ficus hispida,Hao et al. 2010,2.939,13.26
Ficus hispida,Hao et al. 2010,3.067,24.01
Ficus hispida,Hao et al. 2010,3.023,35.48
Ficus hispida,Hao et al. 2010,3.278,11.11
Ficus hispida,Hao et al. 2010,3.479,28.32
Ficus hispida,Hao et al. 2010,3.673,16.13
Ficus hispida,Hao et al. 2010,3.967,24.73
Ficus hispida,Hao et al. 2010,4.007,69.18
Ficus hispida,Hao et al. 2010,3.808,87.81
Ficus hispida,Hao et al. 2010,3.486,82.08
Ficus racemosa,Hao et al. 2010,1.101,491.5
Ficus racemosa,Hao et al. 2010,0.8798,493.3
Ficus racemosa,Hao et al. 2010,0.7899,477.8
Ficus racemosa,Hao et al. 2010,0.9056,445.3
Ficus racemosa,Hao et al. 2010,1.143,421.2
Ficus racemosa,Hao et al. 2010,1.206,441.7
Ficus racemosa,Hao et al. 2010,0.8261,420.7
Ficus racemosa,Hao et al. 2010,0.7154,427.7
