species,s,f,g
Aidia_canthioides,505.62,18.227601,3.645261559
Aidia_cochinchinensis,373.7178,1.530000673,0.195827441
Ailanthus_altissima,555,16.338,2.705137914
Ajuga_adulterina,378.125,7.7213125,1.785602307
Ajuga_chamaepitys,351.125,5.407325,1.297665927
Ajuga_genevensis,433.0204082,6.569538192,1.419684902
Ajuga_orientalis,349.80125,7.96147645,1.91423054
Akebia_quinata,198.7225,4.521139875,1.472895344
Akebia_trifoliata,248.645,2.53866545,0.723980572
Alafia_microstylis,400,5.8,0.663891175
Alangium_chinense,385.1825,7.879116425,1.800978106
Alangium_kurzii,534.5514,1.23321008,0.174262331
Albertisia_crassa,810,11.664,1.047647575
Albertisia_exelliana,720,7.128,0.765688422
Albertisia_megacarpa,900,12.87,0.982101084
Albertisia_papuana,648,13.4784,1.068032987
Albertisia_villosa,648,25.596,2.603544007
Albizia_julibrissin,200,5.042,1.603242246
Albizia_kalkora,225.3032667,1.743639638,0.538202426
Albizia_saman,183.3757,32.9819534,8.889788357
Albovia_tripartita,320.5512,4.641581376,1.165812131
Alcea_rosea,754,23.9018,2.233974388
Alchemilla_erythropoda,306.5288,7.631034476,1.960013568
Alchemilla_fluminea,403.28,10.92404864,2.446197892
Alchemilla_persica,254.4768,6.4891584,1.829260609
Alchemilla_pseudocartalinica,331.01645,7.548830142,1.865804643
Alchemilla_sericata,389.48405,9.004871236,2.051842272
Alchornea_latifolia,206.045,2.4107265,0.755228215
Alexa_imperatricis,435.25,5.54025,1.20672438
Allamanda_cathartica,450,31.05,4.683512669
Alliaria_petiolata,210.9458,3.441791673,1.065639825
Allium_ampeloprasum,404.895025,6.149198843,1.364761615
Allium_atroviolaceum,522.61445,7.495859056,1.474490605
Allium_cepa,1126.878225,15.74094242,1.39990539
Allium_rubellum,779.6115845,10.34778456,1.666554578
Allium_ursinum,992.25,5.50845,0.875141148
Allophylus_camptostachys,264.5,2.56565,0.709407666
Allophylus_cobbe,68.9138,4.573188682,2.477292715
Allophylus_racemosus,72,4.824,2.556538607
Alloplectus_ambiguus,512,2.8672,0.56981557
Alloxylon_pinnatum,772.245,7.568001,1.224658307
Alniphyllum_fortunei,357.90105,6.363565605,1.621028623
Alnus_acuminata,310.5032,5.935268668,1.514672174
Alnus_alnobetula,457.53125,8.281315625,1.741005971
Alnus_glutinosa,541.2620362,9.018152554,1.748849613
Alnus_hirsuta,356.445,9.552726,2.27531936
Alnus_incana,139.25,3.71716875,1.593968264
Alnus_mandshurica,456.02,8.2448416,1.736207691
Alnus_serrulata,338,16.4268,4.017962915
Alocasia_macrorrhizos,276.125,2.42161625,0.655335602
Alocasia_odora,338,2.29164,0.560530629
Aloe_aristata,312.0002,0.4680003,0.119146146
Aloe_broomii,479.57045,1.198926125,0.246194032
Aloinopsis_schooneesii,122.46125,0.224104088,0.091067149
Aloysia_gratissima,180.5,4.53055,2.084413736
Alphitonia_incana,270,17.118,1.527759903
Alpinia_hainanensis,343.22,5.2546982,1.275477461
Alpinia_japonica,521.645,4.49136345,0.884304796
Alpinia_oblongifolia,340.605,3.69556425,0.90046441
Alpinia_pumila,524.88,2.8448496,0.55839382
Alpinia_shimadae,340.605,4.564107,1.112094294
Alstonia_rostrata,202.005,3.54518775,1.121681314
Alstonia_scholaris,326.812225,7.951992494,1.983132181
Alyssum_desertorum,346.63445,6.579121861,1.589071263
Alyssum_linifolium,241.1208,11.41224746,3.304951929
Alyssum_longistylum,245.5328,5.178286752,1.486081551
Alyssum_minutum,323.85125,8.53671895,2.133189804
Alyssum_sibiricum,237.3366845,6.640680432,1.938391293
Alyssum_strigosum,303.860552,6.391706711,1.648887335
Amaioua_guianensis,309.2125,5.39352255,1.392769799
Amaranthus_blitum,340.605,6.0491448,1.4739399
Amaranthus_caudatus,295,6.1967,0.983059328
Amaranthus_cruentus,3103.768025,7.476537068,0.85369613
Amaranthus_graecizans,259.92,2.7603504,0.769937851
Amaranthus_hybridus,333.8604167,6.283275542,1.386573625
Amaranthus_retroflexus,353.86,8.6032097,2.046779436
Amaranthus_speciosus,336,4.9728,0.820993361
Amaryllis_odoratissima,1800,4.5,0.274635444
Amborella_trichopoda,883.72,17.303192,0.899063961
Ambrosia_deltoidea,49.90005,2.1956022,1.397701629
Amesiodendron_chinense,73.205,3.3864633,1.779865994
Ammi_majus,380.88,8.4783888,1.953577068
Amomum_villosum,605.52,4.6382832,0.847626099
Amorphophallus_bulbifer,1216.72445,7.422019145,0.95683545
Amorphophallus_paeoniifolius,623.045,12.6478135,2.278594528
Ampelopsis_grossedentata,429.245,3.83315785,0.831984788
Amphitecna_tuxtlensis,200,3.54,1.125640133
Amygdalus_davidiana,457.6833333,9.874596267,2.199511419
Anacardium_excelsum,290.8864547,20.38649217,5.877897887
Anagallis_arvensis,1069.547225,5.67297007,0.821908767
Ananas_comosus,675,5.265,0.427264734
Anaphalis_acutifolia,295.245,4.2397182,1.109575913
Anaphalis_aureopunctata,364.5,6.83073,1.608902244
Anaxagorea,445.64,11.191948,2.343684509
Anchusa_aegyptiaca,633.68,1.394096,0.24903993
Anchusa_arvensis,688.205,0.688205,0.11796963
Anchusa_arvensis_subsp._orientalis,305.045,0.61009,0.157080855
Anchusa_aucheri,531.38,1.169036,0.228053419
Anchusa_azurea,772.245,0.926694,0.14995816
Anchusa_cespitosa,386.42,1.313828,0.300552275
Anchusa_cretica,515.205,1.2880125,0.255176895
Anchusa_crispa,417.6825,0.873015,0.192932811
Anchusa_formosa,367.205,0.73441,0.172343772
Anchusa_leptophylla,682.085,1.24119325,0.215286625
Anchusa_officinalis,630.125,1.1972375,0.214475782
Anchusa_samothracica,852.845,1.70569,0.262649364
Anchusa_thessala,403.28,1.0082,0.225763981
Anchusa_undulata,518.425,1.37430925,0.271377845
Ancistrocladus_tectorius,425.4625,8.36637945,1.821734083
Ancylobotrys_petersiana,483,21.735,2.490713086
Ancylobotrys_tayloris,783,19.575,1.726415085
Andira,180.5,7.22,2.416628534
Andira_surinamensis,91.80125,9.54733,4.480938065
Andromeda_catesbaei,128,3.2,1.271909755
Andromeda_floribunda,105.125,3.15375,1.383201858
Andromeda_japonica,28.125,1.8,1.526291706
Andromischus_cristatus,449.10045,0.525447527,0.111498471
Androsace_villosa,684.7590245,4.146215893,0.712515529
Anemone_albana,737.28,11.9218176,1.97441095
Anemone_henryi,1081.125,7.5894975,1.037973753
Anemone_nemorosa,1800,12.06,0.736022989
Anemone_patens,1283.2178,9.6241335,1.208155278
Anemone_scabiosa,1598,14.0624,1.120423322
Anemone_tomentosa ,963.605,18.7517533,2.71646218
Anemopsis_californica,832,7.8208,0.769418663
Angelica_amurensis,468.18,11.0537298,2.297278882
Angelica_anomala,506.57445,9.858951946,1.969792201
Angelica_cartilaginomarginata,700.315625,10.0554805,1.708705266
Angelica_gigas ,547.47405,6.985768878,1.342591052
Angelica_grosseserrata,602.3921,5.524839666,1.012258218
Angostura_trifoliata,392,7.84,1.780673656
Aniba_excelsa,364.5,12.393,2.919032887
Aniba_riparia,255.38,7.15064,2.012161232
Anisocycla_blepharosepala,1184,23.5616,1.823625315
Anisocycla_grandidieri,810,14.58,1.309559469
Anisophyllea_manausensis,78.75125,2.134158875,1.081457168
Anisoptera_costata,124.82,4.780606,1.924208672
Annona_glabra,470.2840059,13.16117185,3.174170842
Ansellia_africana,494.55125,2.621121625,0.530020694
Antennaria_dioica,336.0528125,2.873251547,0.704824816
Antenoron_filiforme,351.5125,4.5222598,1.07916773
Anthurium_dominicense,1058,5.9248,0.819109882
Anthyllis_vulneraria,348.74405,5.129327487,1.235146093
Antidesma,346.69,6.650155,1.579870904
Antidesma_bunius,405.38,9.3631676,1.974614456
Antidesma_ghaesembilla,312.5,8,2.035055607
Antidesma_maclurei,184.51205,4.832001565,1.599653807
Antidesma_venosum,81.6144,1.35479904,0.778923335
Antonia_ovata,113.25125,3.261636,1.37824141
Apeiba,162,8.586,3.033504765
Apeiba_petoumo,228.98,15.11268,4.491113344
Apodytes_dimidiata,450,8.865,1.879246662
Aporosa_falcifera,780.52005,6.226208439,1.002173532
Aporosa_octandra,347.651225,11.9060105,2.866827383
Aporosa_sarawakensis,153.8258,5.151626042,1.867845899
Aporosa_yunnanensis,282.531,9.20621262,2.176413511
Aquilegia_oxysepala,432.3232833,9.162794429,1.968239687
Arabidopsis_thaliana,197.828512,3.563355222,1.138764031
Arabis_hirsuta,272.2222222,4.709444444,1.283568927
Arabis_sagittata,156.5211245,4.42485219,1.590463082
Arachis_hypogaea,516.812025,24.61850096,3.677906264
Arachis_monticola,505.93805,6.295387156,1.258592319
Aralia_elata,327.68,3.8699008,0.961360269
Aralia_integrifolia,1054,22.8718,1.776843226
Aralia_quinquessia,1280,16.512,1.330286956
Arbutus_canariensis,601.35,13.34997,1.694918073
Arbutus_menziesii,272.2734,8.46770274,1.831613749
Arbutus_unedo,617.5065015,17.05152342,2.72139616
Archidendron_clypearia,142.4672,4.138244758,1.559085863
Archidendron_lucidum,138.631525,4.605596894,1.76571312
Archidendron_turgidum,182.405,6.92591785,2.306058239
Arctium_lappa,824.18,6.3132188,0.988897115
Arctostaphylos_glandulosa,856.9418,22.79465188,2.082211591
