species,s,i,e,g
Phyllanthus_asperulatus,32,0.4,1742.335097,0.961563774
Phyllanthus_disticha_f._nivosa,220.5,0.08,660.173913,0.854723355
Phyllanthus_emblica,284.77,0.13425,745.7474926,1.368117467
Phyllanthus_epiphyllanthus,203.36,0.0809,254.6105672,1.404552664
Phyllanthus_maderaspatensis,264.56,0.20085,945.5520593,1.512547732
Phyllanthus_pinnatus,310.8,0.1169,379.0947697,2.018484531
Phyllanthus_reticulatus,220.5,0.27,923.5077427,2.457329646
Phyllanthus_rotundifolius,427.36,0.193,1143.449539,1.193009763
Phyllanthus_urinaria,203.58,0.1875,1062.487456,1.014717282
Phyllanthus_virgatus,209.44,0.2445,1169.337737,1.904692479
Pilea_microphylla,264.5,0.23,1995.308081,1.053141277
Pileostegia_tomentella,638.65,0.138,690.227151,1.291046626
Pileostegia_viburnoides,715.68,0.141,621.8546492,1.540694209
Piper_ornatum,629.4152,0.073920656,1074,0.801010606
Pisum_sativum,530.048,0.118,377.6186182,1.835248228
Pithecellobium_dulce,372.7284,0.069,144.094512,3.351763784
Pittosporum_tenuifolium,468.7684,0.183934136,756,2.051791843
Platanus_orientalis,530.7282,0.145247309,612,2.507048598
Polyalthia_anomala,139.7792,0.179063361,643.5765945,1.72039302
Polyalthia_motleyana,527.4752,0.063400576,668.9817617,0.992098766
Polyalthia_rumphii,155.76125,0.114982578,772.0144141,0.920361371
Polygonatum_biflorum,1512.5,0.164,3706.804755,0.856949197
Polygonum_divaricatum,253.125,0.174,839.2789172,1.688460199
Polygonum_macrophyllum,285.605,0.344,1981.899183,1.869516553
Populus_× canadensis,311.2566667,0.091333333,396.5525324,2.253801169
Populus_nigra,443.76625,0.058333333,317.8222714,1.607967256
Potentilla_parvifolia,235.445,0.126,266.4003776,3.312053001
Potentilla_tanacetifolia,128,0.446,1581.166775,2.431891451
Potentilla_virgata,359.12,0.1,371.6204115,2.300884746
Pouzolzia_zeylanica,242,0.24,1568.315789,1.343136701
Premna_barbata,278.2224,0.1461,13174.75533,0.140757862
Premna_coriacea,340.0496,0.1419,382.7051567,4.09807703
Premna_herbacea,220.2594,0.144,533.508335,3.882746492
Premna_mollissima,266.6298,0.1262,639.741963,2.515310236
Premna_resinosa,216.3952,0.1268,490.0626666,1.632357369
Premna_tomentosa,197.0742,0.1415,638.3454591,2.572141472
Priva_cordifolia,278.2224,0.1875,875.0265392,1.73754574
Prunus_domestica,353.2482,0.144727647,574,2.256641365
Prunus_laurocerasus,906.6244126,0.197373277,1685.3125,1.907583288
Prunus_lusitanica,599.9344316,0.249089463,1545.768229,1.837614001
Prunus_serotina,294.720623,0.185907718,1159,1.55663878
Prunus_spinosa,398.0881115,0.181708929,785.766471,2.921534418
Prunus_subhirtella,292.82,0.112184637,287,3.001071066
Putranjiva_roxburghii,180.5,0.26,550.8316953,3.455778803
Quercus_cerris,432.2076267,0.169538082,336.8234649,4.128305924
Quercus_coccifera,280.554175,0.127185273,415,3.525750269
Quercus_ilex,459.2373547,0.097553637,174.6494391,3.683701875
Quercus_petraea,348.0967867,0.168023702,505.4400994,2.969619925
Quercus_robur,383.9194614,0.160833335,555.8037975,2.251454705
Rapanea_melanophloeos,245.9277,0.079337952,529.75,1.094552668
Rhamnus_cathartica,378.4802685,0.183451025,641.4218204,2.587485922
Rhizophora_mucronata,401.2,0.058,396.1,1.01217104
Rhododendron_ponticum,571.5578958,0.15470571,552.6901137,3.549641659
Ribes_diacanthum,276.125,0.138,448.3876272,2.428552688
Ribes_nigrum,429.5864258,0.166564385,935.8258929,1.741185451
Ribes_uva-crispa,648.1780296,0.168821108,2016.298792,1.127161877
Ricinus_communis,568.2166667,0.20405,1467.970628,1.717137704
Ricotia_aucheri,1197,0.3,4589.040816,0.808165615
Ricotia_carnosula,476,0.222,3720.215938,0.608157036
Ricotia_davisiana,540,0.319,4526.933981,0.708646682
Ricotia_sinuata,388.5,0.235,2952.552288,0.515094495
Ricotia_tenuifolia,522.75,0.158,3029.381037,0.393472276
Ricotia_varians,387,0.294,2007.750708,1.03982487
Rinorea_bengalensis,346.3712,0.101851852,1224.676006,0.75088159
Rinorea_lanceolata,384.1992,0.097777778,1084.330277,0.848379705
Rosa_acicularis,453.556225,0.105830428,779,1.135437018
Rosa_arvensis,297.7470532,0.093364736,706.5371261,1.20095589
Rosa_blanda,152.4258,0.042578373,282,0.854990456
Rosa_bracteata,210.750625,0.078953817,164,3.628788241
Rosa_canina,428.958225,0.062639639,746,1.088999116
Roystonea_regia,580.385,0.1267,803.0617714,1.783834726
Rubus_plicatus,349.9862157,0.202217784,1229.617957,3.003910904
Salacca_zalacca,483.3025,0.1281,907.3030702,1.496906849
Salix_alba,278.414225,0.077170729,561,1.425387017
Salix_caprea,195.2491752,0.164951047,732.5679609,1.811038343
Salix_cheilophila,103.68,0.213,247.2678292,4.50103424
Salix_cupularis,60.5,0.183,402.0148412,1.885288234
Salix_gordejevii,89.78,0.257,586.615224,2.3861027
Salix_pentandra,405.3345,0.265,571.6050917,1.858142204
Sambucus_nigra,1101.39435,0.159447615,1979.604167,1.302681223
Sambucus_racemosa,1024.2338,0.174854653,2247,1.237682663
Sanguisorba_officinalis,181.0033333,0.318,1289.523194,1.596917674
Saposhnikovia_divaricata,256.801975,0.482,2604.477554,1.831180048
Saraca_asoca,449.1978,0.185,69.54514236,11.2315289
Sarcandra_glabra,1521.9875,0.105,1401.722227,0.466586035
Sarcandra_glabra_subsp._brachystachys,1426.61,0.143,1704.496223,0.974133441
Saribus_rotundifolius,166.745,0.0925,196.6599712,2.676668613
Saussurea_glanduligera,508.805,0.12,1851.232097,0.720187101
Saussurea_globosa,515.205,0.325,2382.98468,1.867894868
Saussurea_hieracioides,480.5,0.238,1624.558697,1.734884905
Saussurea_medusa,571.22,0.143,1079.764053,1.526164515
Saussurea_nivea,277.925,0.114,822.8267497,0.832792451
Schizophragma_corylifolium,738.72,0.098,651.7259617,1.319992135
Schizophragma_crassum,1034.16,0.122,692.3880334,1.648659158
Schizophragma_fauriei,825.84,0.153,553.4901233,2.286673556
Schizophragma_hydrangeoides,856.54,0.10425,734.807567,1.509357803
Schizophragma_hypoglaucum,784.16,0.113,605.1003637,1.69617848
Schizophragma_integrifolium,932.94,0.1555,560.0458779,2.567156874
Schizophragma_molle,952.02,0.175,657.0429581,2.508724368
Schoenoplectus_triqueter,637.245,0.13,725.7975452,2.06602661
Scutellaria_viscidula,103.68,0.333,1338.907289,1.643816167
Scyphiphora_hydrophylacea,1178,0.111,1075.6,1.125209368
Senecio_crassifolius,347.68845,0.077240875,1321,0.519874034
Senna_alata,254.2624224,0.174,867.498967,2.471815394
Senna_hirsuta,423.9877769,0.2,1185.99272,1.791715052
Senna_obtusifolia,241.9149478,0.2,1228.181057,1.356889202
Senna_occidentalis,449.1015586,0.2885,1101.729492,5.321316453
Senna_siamea,359.8668,0.226,108.5214904,9.129569373
Senna_sophera,748.6631016,0.305,2283.645963,2.067111013
Senna_tora,364.5648,0.243,130.8527625,8.450955161
Serratula_centauroides,288,0.237,1487.273506,1.50339733
Sesbania_bispinosa,689.2485,0.253,2121.831551,1.163108179
Sesbania_grandiflora,559.0422,0.231,1821.407772,0.892803466
Sesbania_sesban,470.1996,0.166,119.2206557,6.972827228
Seseli_mucronatum,536.1248,0.188,684.5596024,2.236248126
Shorea_inappendiculata,134.64405,0.076804916,303.5005393,1.379433062
Shorea_laxa,137.61405,0.117302053,731.7427011,0.934668034
Shorea_patoiensis,101.24645,0.110181311,307.7043855,1.749566496
Sibbaldianthe_bifurca,302.58,0.241,826.956015,2.690852277
Solanum_dulcamara,344.4513224,0.185238366,1010.946671,1.778182843
Solanum_lycopersicum,474.32,0.245,870.3975972,3.102645779
Solidago_altissima,240.46245,0.1193,416.1644861,2.105013537
Solidago_canadensis,210.9458,0.1298,466.2697147,1.957286975
Solidago_gigantea,358.0488,0.1306,652.4273106,1.809965611
Solidago_virgaurea,492.11345,0.0761,817.8065728,0.956660276
Sonneratia_apetala,606,0.042,330,1.411699378
Sophora_alopecuroides,92.48,0.121,689.5982466,0.84760066
Sorbus_alnifolia,555.7778,0.109293393,637,1.844637998
Sorbus_aucuparia,507.397132,0.118370392,1037.311517,1.386949416
Stachytarpheta_indica,212.531,0.1505,734.9055218,3.146537425
Stachytarpheta_mutabilis,340.0496,0.2068,795.6065441,3.207190719
Stanhopea_candida,1355.76,0.03088,2790.16,0.189090111
Stanhopea_connata,1477.35,0.02149,3213.8,0.11810395
Stanhopea_costaricensis,1427.67,0.01155,2648.9,0.074965376
Stanhopea_ecornuta,1450.68,0.01316,2756.76,0.082863444
Stanhopea_gibbosa,1072.09,0.03101,3119.53,0.151068629
Stanhopea_grandiflora,1320.95,0.02116,3720.405,0.093767801
Stanhopea_graveolens,1493.085,0.011105,2340.865,0.083812308
Stanhopea_haseloviana,1471.04,0.0081,3556.07,0.03845307
Stanhopea_hernandezii,1291.47,0.00873,2096.11,0.067906213
Stanhopea_insignis,1640.395,0.02189,3249.84,0.12381604
Stanhopea_intermedia,1318.93,0.00591,2060.25,0.047034298
Stanhopea_jenischiana,1360.17,0.01572,2899.41,0.091348587
Stanhopea_martiana,1215.2,0.01552,2700.86,0.091500797
Stanhopea_oculata,1515.51,0.025825,2554.84,0.154665743
Stanhopea_pozoi,1520.17,0.03058,2991.96,0.184833376
Stanhopea_reichenbachiana,1337.21,0.04262,3766.63,0.194353267
Stanhopea_saccata,1370.54,0.008455,2219.185,0.064029311
Stanhopea_shuttleworthii,1334.66,0.0201,2808.95,0.119993409
Stanhopea_tigrina,1024.3,0.018275,2856.915,0.093467513
Stanhopea_tigrina_var._nigroviolacea,1137.87,0.01115,2263.86,0.075572076
Stanhopea_tricornis,1181.8,0.01773,3555.51,0.078485686
Stanhopea_wardii,1405.043333,0.01844,3547.933333,0.08958736
Stellera_chamaejasme,230.1325,0.194,758.4121565,1.249212525
Streblus_asper,200,0.2,350.6410256,3.968358434
Streptopus_amplexifolius,798.4008,0.19323722,7067,0.419310489
Suregada_multiflora,346.68,0.1277,611.6668787,1.25325919
Syzygium_grande,154.35245,0.014644351,42.94387944,1.835452298
Tamarindus_indica,317.2088,0.204,105.7856584,7.351806917
Tectona_grandis,255.0372,0.1411,793.8773069,2.321824833
Tectona_hamiltoniana,185.4816,0.2133,984.2511772,2.053031496
Tephrosia_purpurea,470.1996,0.139,1105.937052,1.018377204
Thermopsis_alpina,521.645,0.195,1961.880382,1.191397867
Thespesia_populnea,401.1703634,0.193768416,1280,1.318935456
Thymus_mongolicus,72,0.373,1408.134127,1.564448998
Thymus_praecox_subsp._polytrichus,358.921862,0.300831648,1676.065341,1.879325129
Tradescantia_ohiensis,1725.1938,0.161033916,4720,0.7097638
Tradescantia_virginiana,2554.055625,0.143243566,8926,0.599498784
Tragia_involucrata,306,0.1714,955.6922223,1.113060692
Tragia_montana,364.5,0.12,1370.75,0.824197521
Tragia_plukenetii,162,0.32,969.5163399,2.575617253
Trema_orientalis,247.5625,0.25,602.3934426,3.555981444
Trifolium_repens,304.370225,0.203,2099.592324,1.092254177
Ulex_europaeus,513.9816052,0.165558354,1706.903409,1.627559283
Ulex_gallii,547.25779,0.203718303,2404.993574,1.77381618
Ulmus_glabra,531.8687721,0.21655699,764.7218585,3.337981724
Ulmus_pumila,393.8625,0.406,1349.386466,2.434001231
Urtica_dioica,312.5,0.24,997.8070175,2.289437558
Vaccinium_myrtillus,498.5116775,0.133185645,868.125,1.345564378
Vaccinium_vitis-idaea,356.7223954,0.166456279,641.171875,1.946054606
Verbena_bipinnatifida,278.2224,0.1931,792.8270225,3.393883865
Verbena_bonariensis,135.247,0.2416,627.5507497,3.932951596
Verbena_hispida,247.3088,0.2413,1308.245414,2.198145626
Verbena_hybrida,256.9693,0.206,653.2933197,1.794933425
Verbena_officinalis,311.0681,0.25,1168.186905,2.301781953
Verbena_stricta,173.889,0.2179,952.2457347,3.055382431
Verbena_urticifolia,370.9632,0.2,541.8091772,4.801847178
Viburnum_opulus,659.2566136,0.186139183,1513.465909,1.591921722
Viburnum_tinus,755.1506229,0.232478841,842.1875,2.261143366
Vicia_amoena,206.045,0.464,3428.597861,1.549186081
Vigna_mungo,392.1647,0.284,2471.256882,1.258372594
Vitex_leucoxylon,140.7375,0.1312,417.7633106,3.704142242
Vitex_negundo,216.3952,0.1376,478.1481783,1.461206245
Vitex_trifolia,139.1112,0.1283,452.4499291,1.27626739
Vitis_vinifera,487.3442,0.09244069,722,1.310397744
Wahlenbergia_marginata,388.08,0.25,1132.549269,2.587007205
Xanthosoma_sagittifolium,378.95045,0.091681288,559,1.479412292
Xylocarpus_granatum,219.24,0.167,582.6,1.314897262
Zingiber_officinale,782.4968,0.046640298,820,0.717013686
