species,s,i,e,g
Chloranthus_fortunei,1745.37,0.131,5087.5137,0.347922199
Chloranthus_henryi,1487.61,0.111,1210.786369,1.139948897
Chloranthus_japonicus,1485.186667,0.134,3362.901811,0.576739037
Chloranthus_nervosus,1362.55,0.175,2675.307765,0.562319443
Chloranthus_oldhamii,1454.64,0.215,5525.76676,0.58026368
Chloranthus_serratus,1414.153333,0.19,2697.435238,0.522093565
Chloranthus_sessilifolius,1639.94,0.149,2531.349758,0.850606256
Chloranthus_spicatus,1283.218333,0.201,2869.925134,0.875874517
Christolea_crassifolia,417.605,0.248,3609.861407,0.808680222
Chrozophora_plicata,312.5,0.28,1035.87963,2.671010485
Chrozophora_rottleri,351.04,0.24545,905.6603955,2.373690947
Chrozophora_tinctoria,294.7933333,0.0902,463.7200207,1.949669313
Cicer_arietinum,408.250625,0.179,85.90270789,4.954346095
Cistanthe_ambigua,239.805,0.136,1536.326991,0.696370591
Cistanthe_celosioides,208.925,0.138,1247.961595,0.817551793
Cistanthe_cymosa,141.62,0.1455,1673.320032,0.755101024
Cistanthe_fenzlii,315.005,0.107,552.5062274,1.620190443
Cistanthe_grandiflora,624.8425,0.0995,4109.595983,0.297595085
Cistanthe_lingulata,453.005,0.133,686.1854081,1.942937543
Cistanthe_longiscapa,121.68,0.133,1315.269088,0.570451525
Cistanthe_parryi,372.645,0.137,1043.263643,1.250032907
Cistanthe_picta,180.5,0.123,535.6881414,1.510392834
Cistanthe_quadripetala,348.48,0.267,2193.168871,1.317952888
Cistanthe_salsoloides,307.52,0.111,1771.159654,0.544122993
Cistanthe_umbellata,283.22,0.095,407.6546225,1.81628713
Cistus_libanotis,1543.4568,0.107764485,1896,1.024675937
Citharexylum_spinosum,402.5023,0.1314,554.8120338,2.254584553
Citrullus_colocynthis,220.5,0.31,739.1350854,3.579154049
Citrus_aurantiifolia,230.48045,0.05303623,111,3.085792975
Citrus_sinensis,173.902225,0.065107312,127,2.54211197
Cleistanthus_collinus,529.2,0.1552,1080.421348,1.139107574
Clitoria_ternatea,328.0662,0.244,342.7557924,5.076696696
Clusia_alata,394.4649154,0.092,902.5585697,1.070094251
Clusia_aripoensis,509.2899955,0.189,1730.88063,1.14568789
Clusia_grandiflora,556.8718899,0.212,1859.408956,1.921936356
Clusia_hilariana,638.658261,0.152,2307.757074,0.98196473
Clusia_lanceolata,281.821193,0.166,1495.880888,1.910374908
Clusia_multiflora,448.9036537,0.089,784.066809,0.572186871
Clusia_rosea,732.0945504,0.147,1548.020902,1.395153787
Clusia_tocuchensis,356.4363871,0.154,1107.179732,1.419346407
Codiaeum_variegatum,698.64,0.1672,547.2984291,2.052255946
Coffea_arabica,609.005,0.158420561,1356,1.420468814
Coffea_stenophylla,426.32,0.143605588,1093,1.337031534
Colutea_arborescens,277.77245,0.080925155,609,1.041767224
Corchorus_aestuans,249.695,0.1724,849.2939184,2.846619549
Corchorus_olitorius,357.32125,0.12855,967.5842142,2.331634079
Corchorus_tridens,277.39,0.2028,1397.768159,1.64146293
Cornus_sanguinea,378.351445,0.100580669,675.0815972,1.536272202
Corylus_avellana,510.7550934,0.064828114,562.558445,1.118649989
Crataegus_monogyna,736.6449705,0.094482374,1020.747019,1.277606468
Crotalaria_pallida,280.9158,0.25,2802.393836,0.660868851
Crotalaria_retusa,637.5186,0.28,3613.931998,0.927739792
Croton_bonplandianus,290.25,0.14265,722.4416564,1.471888663
Croton_oblongifolius,162,0.12,252.8357771,2.838902572
Cucumis_dipsaceus,389.48405,0.182745653,729,2.431681586
Cucumis_melo,220.5,0.3,829.1453202,3.098372162
Cucumis_sativus,178.35,0.34,822.3030303,2.803676027
Cucurbita_maxima,144.5,0.27,542.1474092,3.35688782
Cunonia_capensis,91.75,0.180614366,660,1.410865895
Cynanchum_mongolicum,174.845,0.133,975.8092973,0.90976525
Cypripedium_formosanum,1965.01805,0.162933653,3849,0.916964259
Cypripedium_irapeanum,611.45045,0.148371728,1184,1.501155589
Cypripedium_parviflorum_var._pubescens,1841.0312,0.158136665,8599,0.405192291
Cytisus_scoparius,209.2801124,0.142800422,1420.00601,0.833112883
Dalbergia_sissoo,322.1176,0.149,1464.783756,0.821774658
Dalechampia_scandens,180.5,0.33,1142.440299,2.416628534
Delonix_regia,340.7352,0.114,41.32381363,8.473351824
Dendrobium_aphyllum,631,0.0592,2560.507857,0.273364019
Dendrobium_chrysanthum,898,0.0888,1877.282902,0.668391856
Dendrobium_chrysotoxum,692,0.0739,1191.608574,0.757084449
Dendrobium_crepidatum,793,0.0835,1563.433534,0.705347438
Dendrobium_crumenatum,609,0.0723,1303.225427,0.640318079
Dendrobium_crystallinum,781,0.103,1419.218796,0.956360165
Dendrobium_denneanum,701,0.0531,1020.759973,0.629833832
Dendrobium_fimbriatum,644,0.0724,1477.14979,0.583143096
Dendrobium_gibsonii,788,0.0648,1235.715901,0.677873566
Dendrobium_henryi,760,0.0913,2298.893403,0.524394911
Dendrobium_jenkinsii,388,0.0794,965.9343362,0.764430423
Dendrobium_lindleyi,376.4768,0.123597871,1184,0.994684304
Dendrobium_loddigesii,676,0.0611,2478.34003,0.301650715
Dendrobium_longicornu,961,0.0813,1365.688021,0.85036002
Dendrobium_moniliforme,640,0.113,1045.862458,1.285522656
Dendrobium_moschatum,541.8632,0.050880738,1065,0.512923047
Dendrobium_nobile,1222,0.124,3571.798265,0.594208291
Dendrobium_pendulum,1226,0.107,2633.165294,0.67863118
Dendrobium_polyanthum,795,0.0906,3155.411746,0.390522072
Dendrobium_salaccense,263,0.0804,470.9570336,1.290810368
Dendrobium_thyrsiflorum,698,0.0689,1242.029057,0.679571324
Desmodium_gangeticum,198.1612,0.087,511.0963235,0.910514811
Diospyros_pendula,213.4178,0.152700186,449.2114946,2.4277269
Dipterocarpus_confertus,220.0802,0.126005362,734.3675648,1.255446854
Dipterocarpus_globosus,190.9058,0.103151863,619.4434885,1.114165217
Dipterocarpus_kunstleri,291.8528,0.072033898,534.7194333,1.069918784
Dorstenia_indica,264.5,0.21,2698.677215,0.702094185
Droguetia_iners,264.5,0.09,856.8861852,0.819109882
Dryobalanops_lanceolata,167.0792,0.071729958,416.66865,1.045575449
Dryobalanops_sumatrensis,146.37605,0.047091413,301.2469781,0.871583155
Duranta_erecta,115.926,0.1797,810.4798195,3.234722405
Elaeagnus_rhamnoides,399.2333519,0.084756364,399.0985577,1.937044267
Elaeis_guineensis,1354.535113,0.055359886,709,8.916376151
Empetrum_nigrum,486.2851452,0.204598215,841.1057692,2.775906153
Eriogonum_trichopes,662.48,0.147,438.1820471,3.611206175
Erythrina_indica,496.9125,0.244,1879.768259,1.126649446
Eucommia_ulmoides,618.095725,0.117075222,1279,1.852396648
Euphorbia_antiquorum,800,0.12,1108.441558,1.424538925
Euphorbia_elegans,285.64,0.128,1536.447438,0.47262431
Euphorbia_fusiformis,450,0.11,1231.835206,0.915775023
Euphorbia_heterophylla,328.36,0.235,1574.175715,1.959559284
Euphorbia_heyneana,144.5,0.22,1078.494709,1.362215347
Euphorbia_hirta,321.08,0.24165,1274.414264,1.968519728
Euphorbia_hypericifolia,292.47,0.1695,1633.093375,0.970233832
Euphorbia_kansui,420.5,0.102,1023.800836,0.977462646
Euphorbia_milii,264.5,0.09,746.5054945,0.936125579
Euphorbia_milli,464.64,0.0721,670.2812819,0.817418735
Euphorbia_neriifolia,578,0.1,2250.592593,0.51893918
Euphorbia_prostrata,273.06,0.1851,1217.020701,0.873392953
Euphorbia_pulcherrima,328,0.21,476.1218354,2.100501981
Euphorbia_pycnostegia,144.5,0.17,770.4789157,1.383837813
Euphorbia_rothiana,420.5,0.15,1764.029412,0.885249189
Euphorbia_serpens,187.88,0.1878,1429.320955,0.626405869
Euphorbia_thymifolia,162,0.27,1481.178082,1.373662535
Euphorbia_tirucalli,242,0.17,763.2086441,1.76286692
Euphorbia_tithymaloides,391.07,0.09825,976.1811562,0.781204382
Euthamia_graminifolia,415.8728,0.0932,774.5200735,1.153278223
Excoecaria_agallocha,645.9,0.152,798.8275625,2.000644113
Fagus_sylvatica,363.0378894,0.113419017,557.1963111,1.589950124
Ficus_asperifolia,281.1776,0.3576,2585.65885,1.111703564
Ficus_benghalensis,144.5,0.19,431.5174407,2.724430694
Ficus_benjamina,329.4624,0.0709,1064.590436,0.950646655
Ficus_capreifolia,245.8562,0.2169,2496.497412,0.539052531
Ficus_carica,290.331025,0.145865534,360.1517857,2.955519208
Ficus_elasticoides,946.5984,0.0911,2689.317242,0.322271343
Ficus_exasperata,165.1588,0.26335,1463.614428,1.772916593
