,Hair
Myrsine_lessertiana,N
Argyroxiphium_sandwicense_subsp._macrocephalum,Y
Peperomia_rockii,Y
Stenogyne_purpurea,M
Acacia_koa,N
Ranunculus_hawaiensis,Y
Cyrtandra_giffardii,Y
Charpentiera_obovata,M
Bobea_timonioides,Y
Pittosporum_terminalioides,Y
Cheirodendron_fauriei,N
Syzygium_sandwicensis,N
Argyroxiphium_grayanum,H
Cyrtandra_macrocalyx,Y
Scaevola_chamissoniana,M
Clermontia_persicifolia,N
Calamagrostis_expansa,Y
Labordia_sessilis,H
Wikstroemia_villosa,M
Lysimachia_glutinosa,N
Panicum_niihauense,Y
Viola_oahuensis,N
Trematolobelia_kauaiensis,N
Lobelia_villosa,Y
Wikstroemia_skottsbergiana,H
Bidens_conjuncta,Y
Eragrostis_fosbergii,N
Scaevola_mollis,Y
Labordia_lydgatei,H
Scaevola_procera,N
Wilkesia_gymnoxiphium,Y
Clermontia_pallida,N
Plantago_hawaiensis,M
Bidens_torta,M
Stenogyne_kanehoana,Y
Cyrtandra_hematos,Y
Bidens_micrantha,M
Labordia_hedyosmifolia,N
Ochrosia_haleakalae,N
Hedyotis_knudsenii,H
Psychotria_mariniana,N
Isodendrion_laurifolium,N
Phyllostegia_brevidens,M
Scaevola_glabra,N
Sicyos_herbstii,Y
Phyllostegia_velutina,Y
Psychotria_kaduana,H
Bidens_cosmoides,Y
Phyllostegia_waimeae,Y
Dubautia_laevigata,N
Coprosma_rhynchocarpa,M
Labordia_venosa,H
Cyrtandra_polyantha,Y
Clermontia_waimeae,H
Cyrtandra_biserrata,Y
Cyrtandra_kauaiensis,Y
Psychotria_hathewayi,M
Bobea_elatior,N
Psychotria_grandiflora,H
Cyrtandra_waiolani,Y
Schiedea_pubescens,M
Trematolobelia_macrostachys,N
Peperomia_subpetiolata,H
Panicum_lineale,H
Psychotria_greenwelliae,M
Clermontia_montis-loa,H
Bobea_sandwicensis,H
Sicyos_lasiocephalus,Y
Cyrtandra_grayana,Y
Phyllostegia_electra,Y
Clermontia_parviflora,H
Cryptocarya_mannii,M
Lobelia_kauaensis,N
Bidens_hawaiensis,M
Cenchrus_agrimonioides,N
Lobelia_gloria-montis,H
Clermontia_drepanomorpha,H
Rauvolfia_sandwicensis,N
Rhus_sandwicensis,Y
Panicum_nephelophilum,Y
Cyrtandra_hashimotoi,Y
Phyllostegia_warshaueri,H
Myrsine_lanaiensis,H
Peperomia_macraeana,M
Phyllostegia_bracteata,Y
Phyllostegia_stachyoides,Y
Myrsine_pukooensis,N
Peperomia_hirtipetiola,Y
Ochrosia_compta,N
Haplostachys_haplostachya,Y
Bidens_forbesii_subsp._forbesii,N
Hedyotis_hillebrandii,H
Cyrtandra_lessoniana,Y
Labordia_degeneri,H
Psychotria_mauiensis,M
Cyrtandra_longifolia,Y
Dubautia_laxa,M
Clermontia_peleana,N
Astelia_argyrocoma,Y
Clermontia_fauriei,H
Diospyros_hillebrandii,N
Remya_kauaiensis,Y
Schiedea_helleri,M
Myrsine_wawraea,Y
Phyllostegia_helleri,Y
Phyllostegia_grandiflora,Y
Euphorbia_haeleeleana,M
Pipturus_kauaiensis,Y
Clermontia_tuberculata,H
Alphitonia_ponderosa,H
Xylosma_hawaiiense,N
Cyrtandra_viridiflora,Y
Flueggea_neowawraea,N
Cyanea_mannii,M
Clermontia_kohalae,H
Viola_wailenalenae,N
Canavalia_kauaiensis,M
Canavalia_galeata,Y
Ochrosia_kilaueaensis,N
Dubautia_latifolia,N
Canavalia_hawaiiensis,Y
Cyanea_asarifolia,N
Cyanea_pohaku,N
Cyrtandra_sessilis,Y
Hedyotis_terminalis,H
Nestegis_sandwicensis,H
Schiedea_kaalae,N
Neraudia_kauaiensis,Y
Hesperomannia_lydgatei,N
Cyrtandra_filipes,Y
Nothocestrum_latifolium,Y
Gahnia_aspera,Y
Cyrtandra_rivularis,Y
Cyanea_recta,H
Ochrosia_kauaiensis,N
Strongylodon_ruber,N
Zanthoxylum_dipetalum,H
Phyllostegia_macrophylla,Y
Cyrtandra_grayi,Y
Plantago_princeps_var._anomala,H
Pipturus_ruber,Y
Phyllostegia_ambigua,Y
Pittosporum_glabrum,Y
Labordia_hirtella,H
Perrottetia_sandwicensis,H
Hibiscus_arnottianus,H
Elaeocarpus_bifidus,M
Erythrina_sandwicensis,H
Neraudia_melastomifolia,M
Zanthoxylum_oahuense,N
Clermontia_pyrularia,Y
Clermontia_hawaiiensis,H
Solanum_incompletum,Y
Cyrtandra_sandwicensis,Y
Clermontia_calophylla,H
Cyanea_hirtella,M
Cyanea_hardyi,H
Cyrtandra_gracilis,M
Pteralyxia_kauaiensis,N
Cyanea_angustifolia,H
Psychotria_hawaiiensis,M
Rubus_hawaiensis,Y
Embelia_pacifica,M
Hesperomannia_arborescens,M
Sicyos_semitonsus,Y
Cyanea_platyphylla,H
Cyrtandra_calpidicarpa,H
Cyanea_marksii,H
Sicyos_waimanaloensis,M
Schiedea_verticillata,N
Zanthoxylum_kauaense,H
Pittosporum_hosmeri,Y
Phyllostegia_mollis,Y
Claoxylon_sandwicense,Y
Psychotria_hobdyi,H
Clermontia_lindseyana,Y
Cyrtandra_spathulata,Y
Sicyos_maximowiczii,Y
Cyrtandra_menziesii,Y
Phyllostegia_knudsenii,Y
Wikstroemia_hanalei,N
Cyrtandra_pruinosa,Y
Schiedea_membranacea,M
Isodendrion_longifolium,N
Cyrtandra_pickeringii,Y
Ranunculus_mauiensis,Y
Cyrtandra_waianaeensis,Y
Cyanea_kunthiana,Y
Hibiscus_waimeae,H
Cyrtandra_munroi,Y
Phyllostegia_imminuta,Y
Phyllostegia_floribunda,Y
Sicyos_hillebrandii,Y
Cyrtandra_oxybapha,Y
Solanum_sandwicense,Y
Hesperomannia_arbuscula,H
Phyllostegia_wawrana,Y
Cyanea_undulata,H
Xylosma_crenatum,H
Pittosporum_hawaiiense,Y
Cyrtandra_grandiflora,Y
Cyrtandra_crenata,H
Cyanea_mceldowneyi,H
Pittosporum_flocculosum,H
Morinda_trimera,M
Cyrtandra_hawaiensis,Y
Argemone_glauca,N
Lysimachia_forbesii,H
Gardenia_remyi,H
Cyrtandra_kohalae,Y
Pittosporum_argentifolium,Y
Gardenia_mannii,Y
Clermontia_kakeana,H
Brighamia_insignis,N
Myrsine_degeneri,N
Myrsine_fernseei,N
Cyanea_pycnocarpa,H
Nothocestrum_longifolium,Y
Sicyos_anunu,Y
Cyrtandra_lydgatei,Y
Cyanea_acuminata,Y
Pipturus_albidus,Y
Sicyos_cucumerinus,N
Ipomoea_tuboides,N
Pittosporum_gayanum,Y
Pittosporum_kauaiense,Y
Cyanea_obtusa,Y
Pisonia_sandwicensis,N
Broussaisia_arguta,H
Sicyos_hispidus,Y
Cyanea_fauriei,H
Trematolobelia_grandifolia,N
Plantago_pachyphylla,M
Pittosporum_confertiflorum,Y
Cyanea_comata,H
Psychotria_wawrae,N
Rumex_giganteus,Y
Haplostachys_munroi,Y
Cyanea_scabra,M
Smilax_melastomifolia,N
Cyrtandra_lysiosepala,Y
Phyllostegia_vestita,Y
Charpentiera_ovata,N
Cyanea_profuga,N
Cyanea_stictophylla,M
Cyrtandra_tintinnabula,Y
Cyrtandra_laxiflora,Y
Charpentiera_tomentosa,Y
Urera_kaalae,Y
Sapindus_oahuensis,N
Boehmeria_grandis,Y
Cyrtandra_oenobarba,Y
Pittosporum_napaliense,Y
Labordia_cyrtandrae,H
Urera_glabra,H
Cyrtandra_platyphylla,Y
Lobelia_oahuensis,H
Cyrtandra_olona,N
Cyrtandra_propinqua,Y
Cyanea_pinnatifida,H
Cyanea_longissima,N
Cyanea_coriacea,N
Platydesma_cornuta,N
Platydesma_rostrata,Y
Cyanea_solenocalyx,Y
Cyrtandra_macraei,Y
Cyrtandra_dentata,Y
Cyanea_solanacea,Y
Cyrtandra_halawensis,Y
Phyllostegia_hirsuta,Y
Sicyos_macrophyllus,H
Lobelia_hypoleuca,H
Sicyos_pachycarpus,Y
Cyrtandra_subumbellata,H
Platydesma_remyi,H
Astelia_menziesiana,Y
Cyanea_horrida,Y
Cyanea_leptostegia,H
Canavalia_napaliensis,Y
Platydesma_spathulata,M
Cyanea_lobata,N
Cyanea_quercifolia,H
Cyanea_glabra,H
Cyrtandra_cordifolia,Y
Cyrtandra_wawrae,Y
Cyanea_fissa,H
Cyanea_asplenifolia,H
Cyanea_arborea,H
Joinvillea_ascendens,H
Touchardia_latifolia,H
Cyanea_giffardii,H
Cyanea_hamatiflora,Y
Cyanea_macrostegia,Y
Cyanea_truncata,H
Cyrtandra_kaulantha,Y
Cyanea_procera,H
Cyanea_grimesiana,H
Cyanea_tritomantha,H
Cyanea_superba,M
Cyanea_aculeatiflora,Y
Cyrtandra_cyaneoides,Y
Coprosma_longifolia,N
Gunnera_petaloidea,Y
